,question,answer,contexts,ground_truth
10,how many tornado planes does the uk have,No answer,"['No answer', 'The UK uses Panavia Tornado GR4 jets for tornadoes.']",138
11,vikram samvat calender is official in which country,Vikram Samvat calendar is official in Nepal.,"['Vikram Samvat is a historical Hindu calendar used in India and Nepal. It employs lunar months and a solar sidereal year. It was introduced in 56 BCE in the southern system and 57–56 BCE in the northern system. The calendar starts its new year around April-May in the Gregorian calendar. It is currently used as the official calendar in Nepal but is also recognized in India. The calendar is 56.7 years ahead of the Gregorian calendar.', 'Nepal']",Nepal
12,where was the deer hunter hunting scene filmed,"The deer hunting scene in ""The Deer Hunter"" was filmed in Clairton, Pennsylvania.","['The deer hunting scene in The Deer Hunter was filmed in Clairton, Pennsylvania.', 'The specific scene in ""The Deer Hunter"" referred to is the deer hunting sequence where the first deer is shot with a tranquilizer dart and the subsequent scene where Michael allows the deer to get away.']",Mount Baker-Snoqualmie National Forest
13,what are the parts of a domain name called,"The parts of a domain name are called labels, including the top-level domain (e.g., .com) and subdomains. [Source: Domain name syntax]","['A domain name consists of one or more parts called labels, conventionally concatenated and delimited by dots. It includes the top-level domain (e.g., .com), subdomains, and the DNS root domain. Fully qualified domain names (FQDNs) specify all labels in the hierarchy of the DNS. Domain names are identified by the rules and procedures of the Domain Name System (DNS). [Source: Domain name syntax]', 'Each component of a domain name represents:\n1. The right-most label indicates the top-level domain (e.g., .com).\n2. Other labels identify subdomains or organizational units.\nSources:\n1. [Context provided]']",top-level domain
14,where is republic of doyle supposed to take place,"St. John's, Newfoundland and Labrador, Canada.","[""The setting of the television series Republic of Doyle is St. John's, Newfoundland and Labrador, Canada."", ""The setting of the television series Republic of Doyle is St. John's, Newfoundland and Labrador, Canada.""]","St. John's, Newfoundland and Labrador"
15,when did beds become popular in france and germany,"In France, beds became popular in the 17th century. In Germany, beds became popular in the 18th century when feather pillows were first used as coverings. (Sources: During the 17th century this curious custom became general..., In the 18th century feather pillows were first used as coverings in Germany...)","['Beds became popular in France during the 17th century. Portable beds were used in high society in France till the end of the Ancien Régime. Feather pillows were first used as coverings in Germany following French fashion in the 18th century. (Sources: During the 17th century this curious custom became general..., In the 18th century feather pillows were first used as coverings in Germany...)', ""Beds became popular in Germany in the 18th century, when feather pillows were first used as coverings. Iron beds appeared in the 18th century and were advertised as free from insects that sometimes infested wooden bedsteads. (Source: Napoleon I's bed)""]",the 12th century
16,when does the little couples new season start,"The new season of The Little Couple started on September 19, 2017, on TLC.","['The new season of The Little Couple premiered on September 19, 2017.', 'The new season of The Little Couple premiered on TLC on September 19, 2017.']","September 19, 2017"
17,the seed of a gymnosperm seed is made in the,The seed of a gymnosperm seed is made in the ovule. Source: [1],"['Gymnosperm seeds are produced through the following process:\n1. Archegonia produce female gametes.\n2. Pollen grains are transferred from pollen cones to ovules via wind or insects.\n3. Pollen enters the ovule through the micropyle.\n4. Inside the ovule, pollen grains mature into sperm cells.\n5. Fertilization occurs, leading to the development of seeds. \nSources: [1]', 'Seeds in gymnosperms are produced on the surface of scales or leaves, often modified to form cones. They can also be solitary, as seen in Yew, Torreya, and Ginkgo.']",either on the surface of scales or leaves
18,factories that assemble parts made in other countries,No answer,"['No answer', 'The provided context does not specify which countries these factories source parts from.', 'Factories assemble Toyota vehicles in various countries such as Australia, China, Taiwan, Japan, Malaysia, the Philippines, Pakistan, Russia, Thailand, India, Vietnam, and the United States. Exported products include those from a dedicated export plant in China, which were sent to some left-hand-drive European markets. Additionally, Jazz models in Hong Kong were imported from Japan. No specific countries are mentioned as destinations for assembled part exports beyond these examples.']",special economic zones
19,what is the poorest county in the state of florida,No answer,"['The counties in the state of Florida are: Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington.', 'No answer']",Union
20,lynyrd skynyrd last of a dying breed album,"Lynyrd Skynyrd's album ""The Last of a Dying Breed"" was released on August 21, 2012.","['No answer', 'The artists featured on the Lynyrd Skynyrd album ""The Last of a Dying Breed"" include:\n- Johnny Van Zant – lead vocals\n- Gary Rossington – guitars\n- Rickey Medlocke – guitars\n- Mark Matejka – guitars\n- Peter Keys – keyboards\n- Greg Morrow – drums\n- Mike Brignardello – bass\n- John Lowery aka ""John 5"" – additional guitar\n- Jerry Douglas – dobro', 'The album ""The Last of a Dying Breed"" by Lynyrd Skynyrd was released on August 21, 2012.']",No answer
21,who did deion sanders go in the hall of fame as,Deion Sanders went into the Pro Football Hall of Fame in 2011.,"['Deion Sanders, also known as Primetime, is a former American football and baseball player. He was born on August 9, 1967, in Fort Myers, Florida. He played cornerback in professional football and had notable careers with the Atlanta Falcons, San Francisco 49ers, Dallas Cowboys, and Washington Redskins. He was inducted into the Pro Football Hall of Fame in 2011. Additionally, he has been involved in media appearances, coaching, and other business ventures. (Sources: Wikipedia, Deion Sanders - Wikipedia)', 'Deion Sanders went into the Pro Football Hall of Fame in 2011.']",Cornerback
22,who played daisy duke in the new dukes of hazzard,Jessica Simpson played Daisy Duke in the 2005 movie The Dukes of Hazzard and the 2019 TV series The Dukes of Hazzard.,"['Jessica Simpson played Daisy Duke in the original Dukes of Hazzard TV series.', 'Jessica Simpson played Daisy Duke in the 2005 movie The Dukes of Hazzard.', 'Jessica Simpson played Daisy Duke in the 2019 TV series The Dukes of Hazzard.']",Jessica Simpson
23,what is the most current adobe flash player version,"The most current Adobe Flash Player version is 28.0.0.137, released on January 9, 2018. No answer","['The current stable release of Adobe Flash Player is version 28.0.0.137, released on January 9, 2018.', 'The last stable release of Adobe Flash Player is version 28.0.0.137, released on January 9, 2018.']",28.0.0.137
24,how much energy does coal produce in the us,"In 2006, the U.S. produced approximately 1.991 trillion kilowatt-hours of electricity from coal.","['In 2006, the U.S. produced approximately 1.991 trillion kilowatt-hours of electricity from coal.', ""In 2014, coal accounted for 39% of the country's electricity production; in 2015, it was 33%; and in 2016, it was 30.4%. [2]""]",16.5 quadrillion BTUs
25,who plays elsa's aunt in once upon a time,"Ellen Burstyn plays Elsa's aunt, The Snow Queen, in Once Upon a Time. Source: [Retrieved Document].","[""Elsa's aunt in Once Upon a Time is The Snow Queen. Source: [Retrieved Document]."", ""Ellen Burstyn plays Elsa's aunt, The Snow Queen, in Once Upon a Time.""]",Elizabeth Mitchell
26,who had the longest tenure as moderator on meet the press,"Tim Russert had the longest tenure as moderator on Meet the Press, serving for 16 years from December 8, 1991, to June 13, 2008.","['The first moderator on Meet the Press was Martha Rountree, who served from 1947 to 1953.', 'Tim Russert served as the longest-tenured moderator on Meet the Press for 16 years, from December 8, 1991, to June 13, 2008.']",Tim Russert
27,how long is the famous suspension bridge in san francisco and what is it called,"The famous suspension bridge in San Francisco is called the Golden Gate Bridge, and its total length from abutment to abutment is 8,981 feet (2,737 m).","['The famous suspension bridge in San Francisco is called the Golden Gate Bridge.', 'The total length of the Golden Gate Bridge from abutment to abutment is 8,981 feet (2,737 m).']","8,981 ft (2,737.4 m),[2] about 1.7 mi (2.7 km)"
28,where is the national championship for college football played,The national championship for college football is played at Mercedes-Benz Stadium.,"['The name of the stadium where the national championship for college football is played is Mercedes-Benz Stadium.', 'The University of Alabama Crimson Tide has won the most national championships in college football history.']","Mercedes-Benz Stadium in Atlanta, Georgia on January 8, 2018"
29,meaning of lyrics to wade in the water,"""Wade in the Water"" is a spiritual song historically associated with the Underground Railroad, guiding enslaved people to freedom by following rivers and streams to evade capture. Symbolically, it references biblical stories like the Israelites' escape from Egypt and healing through troubled waters. (Sources: Historical significance, Symbolic meaning, Biblical references)","['The historical significance of the lyrics ""Wade in the Water"" refers to its association with the Underground Railroad, where it served as a guideline for enslaved people seeking freedom. This spiritual was used to instruct them to follow rivers and streams to avoid detection by slave catchers.', 'The symbolic meaning of ""Wade in the Water"" in spirituals refers to the guidance and protection provided by God during the journey of the enslaved towards freedom along the Underground Railroad.', 'The lyrics ""Wade in the Water"" relate to biblical stories by symbolizing the Israelites\' escape from Egypt in Exodus 14 and referencing healing through the troubled waters mentioned in John 5:4.']",No answer
30,how often does a speed limit sign need to be posted,No answer,"['Speed limit signs along highways should be repeated approximately every 200 to 500 meters (660 to 1,640 feet) after the initial sign, according to practices in the European Union. This spacing is intended to ensure visibility and clarity for drivers.', 'No answer', 'Factors influencing the frequency of speed limit sign postings include:\n- Weather conditions [62]\n- Traffic conditions [62]\n- Construction [62]\n- Extreme changes in driving conditions [62]\n- Regulation 615 of the Ontario Highway Traffic Act [136]\n\nNo answer regarding specific metrics or standards for sign posting frequency beyond these influences.']",No answer
31,when are centrally acting skeletal muscle relaxants used,"Centrally acting skeletal muscle relaxants are used to alleviate musculoskeletal pain and spasms, reduce spasticity in neurological conditions, and relieve symptoms like muscle spasms, pain, and hyperreflexia. Examples include tizanidine, diazepam, tetrazepam, baclofen, etc.","['Centrally acting skeletal muscle relaxants, also known as spasmolytics, are drugs used to alleviate musculoskeletal pain and spasms and to reduce spasticity in various neurological conditions. These medications affect the central nervous system rather than the neuromuscular junction. Examples include tizanidine, diazepam, tetrazepam, baclofen, and others.', 'Centrally acting skeletal muscle relaxants are used to alleviate musculoskeletal pain and spasms and to reduce spasticity in various neurological conditions. These agents may also be used to relieve symptoms such as muscle spasms, pain, and hyperreflexia. Some examples of these medications include orphenadrine, chlorzoxazone, tizanidine, diazepam, tetrazepam, mephenoxalone, methocarbamol, baclofen, and others.']",to alleviate musculoskeletal pain and spasms and to reduce spasticity in a variety of neurological conditions
32,when does bloom find out who she is,Bloom finds out who she is when she confesses her real name to Headmistress Faragonda and discipline head Griselda after being caught sneaking back into school. (Source: Context),"['Bloom first discovers her true identity when she confesses her real name to Headmistress Faragonda and discipline head Griselda after being caught sneaking back into school.', ""Bloom learns about her past through visions and discoveries. For instance, she finds out she can read people's auras and uses this ability to uncover secrets. Additionally, she receives a vision while putting out a fire in her mother's flower shop, revealing more about her background. (Source: Context)""]","Addio Magix!""  / ""The Font of Dragon Fire"
33,who wrote song what a friend we have in jesus,"Charles C. Converse composed the song ""What a Friend We Have in Jesus."" Joseph M. Scriven wrote the lyrics.","['The composer of the song ""What a Friend We Have in Jesus"" is Charles C. Converse (1868).', 'Joseph M. Scriven (1855)']",Joseph M. Scriven
34,who decides the number of judges in the high court,"The number of judges in the High Court is decided by the President of India, with consultation from the Chief Justice of the Supreme Court and the Governor of the State. (Source: Context provided)","['Judges of the High Court are appointed by the President of India with the consultation of the Chief Justice of the Supreme Court and the Governor of the State. (Source: Context provided)', 'In India, the Chief Justice of a High Court is appointed by the President with consultation from the Chief Justice of the Supreme Court and the Governor of the State. Other judges are appointed by the President, Governor, and the Chief Justice of the High Court. In the U.S., the President nominates judges to the Supreme Court with the advice and consent of the Senate.']",the President of India
35,in which sea pearl is found in india,"Pearls in India are found in the Indian Ocean, including areas like the Persian Gulf, the Red Sea, and the Gulf of Mannar.","['Pearls in India are found in the Indian Ocean, specifically in areas such as the Persian Gulf, the Red Sea, and the Gulf of Mannar. [29][30][31]', 'No answer']",the Indian Ocean
36,what is the payout for the texas bowl,The payout for winning the Texas Bowl as of 2015 was US$3 million per team. [1],"['No answer', 'As of 2015, the payout for winning the Texas Bowl is US$3 million per team. [1]', 'Bowl game payouts typically involve payments to players, officials, and other team members. For example, each member of the Patriots received $68,000 for winning the game, while the Eagles each received $36,500. Additionally, there may be special events like honoring deceased coaches with tributes and moments of silence. Winning teams can also present rings to various individuals, including players, coaches, trainers, executives, and staff. The exact amounts and distribution methods vary depending on the specific bowl game and team policies. No answer']",US$3 million per team
37,what are the top five wine producing states,"1. California (84.354% of total production)
2. Washington
3. New York
4. Pennsylvania
5. Oregon","['The top five wine-producing states in the US are:\n1. California - 84.354% of total production\n2. Washington\n3. New York\n4. Pennsylvania\n5. Oregon', 'Characteristics of wine-producing states include:\n- California dominates wine production with over 84% share.\n- Washington and Oregon also play significant roles.\n- Other notable states include Arizona, Arkansas, Colorado, Florida, Georgia, Idaho, and others.\n- Each state has its own unique climate and terroir affecting grape varieties and wine styles.\n- Wine production is widespread across all 50 states, though production levels vary significantly.']",California
38,where is jj's husband on criminal minds,"JJ's husband on Criminal Minds is Detective William LaMontagne, Jr.","[""Josh Stewart, JJ's husband on Criminal Minds, has appeared as Detective William LaMontagne, Jr."", 'JJ\'s husband on Criminal Minds is Detective William LaMontagne, Jr., SSA Jennifer ""JJ"" Jareau\'s boyfriend and later, husband.']",No answer
39,who plays sheila carter on the bold and the beautiful,"Kimberlin Brown played Sheila Carter from 1990 until 2006, and Michelle Stafford took over the role from 2006 to 2007.","['Sheila Carter is a fictional character on The Bold and the Beautiful, played by Kimberlin Brown since 1990 and Michelle Stafford from 2006 to 2007. She has had various occupations including waitress, executive assistant, nurse, and mother to Daisy Carter. Sheila has also had multiple husbands and children. Source: Sheila Carter - Wikipedia', 'Sheila Carter is a fictional character known for being a villainous figure in The Bold and the Beautiful. She has been portrayed by Kimberlin Brown and Michelle Stafford. Her occupation includes roles such as waitress, executive assistant, nurse, and various other identities. She has a complex family history involving multiple husbands and children, including Daisy Carter.']",Kimberlin Brown
40,where does the saying like a boss come from,"The saying ""like a boss"" originated from the song ""Like a Boss"" premiered as a Saturday Night Live Digital Short on April 4, 2009. (Source: Retrieved documents)","['The phrase ""like a boss"" originates from the song ""Like a Boss,"" premiered as a Saturday Night Live Digital Short on April 4, 2009.', 'The phrase ""Like a Boss"" was popularized by The Lonely Island through their song and accompanying video on Saturday Night Live in April 2009.', 'The cultural significance of the phrase ""like a boss"" stems from its popularity following the release of the ""Like a Boss"" digital short on Saturday Night Live in April 2009. It became a trending hashtag on social media platforms like Twitter, Tumblr, and Facebook, signifying pride in achieving goals or completing tasks successfully.']",No answer
41,which site of an enzyme is called allosteric site,"Allosteric site is a regulatory site where modulator molecules bind, causing conformational changes that alter the enzyme's activity. [11][12]","[""An allosteric site in an enzyme is a regulatory site where modulator molecules (allosteric regulators) bind, causing conformational changes that alter the enzyme's activity."", 'An allosteric site functions by allowing modulator molecules to bind, inducing conformational changes in the enzyme that alter its activity. Some allosteric regulators activate enzymes, while others inhibit them. For example, in the case of polymerases, the active site cycles between loose, tight, and open states, facilitating ATP production. [11][12]']",regulatory site
42,where are unipolar neurons found in spinal cord,"Unipolar (pseudounipolar) neurons are found in the dorsal root ganglia and the sensory ganglia of cranial nerves V, VII, IX, and X.","['Unipolar neurons are found in the dorsal root ganglia and the sensory ganglia of cranial nerves V, VII, IX, and X.', 'Unipolar neurons, or more accurately pseudounipolar neurons, are sensory neurons in the peripheral nervous system. They have one axon that splits into two branches: one for the periphery and one for the spinal cord. Unlike typical neurons, these neurons do not have separate dendrites and axons; instead, they have one branched process serving both functions. Pseudounipolar neurons are found in the dorsal root ganglia and sensory ganglia of certain cranial nerves.']",the distal dorsal root
43,what is the point of a menstrual cup,"The point of a menstrual cup is to collect menstrual flow inside the vagina, providing a reusable, cost-effective, and environmentally friendly alternative to disposable products.","['A menstrual cup is a firm, flexible bell-shaped device made of silicone that is worn inside the vagina to collect menstrual flow. It can last up to 5 years or longer.', 'A menstrual cup is a firm, flexible bell-shaped device made of silicone that is worn inside the vagina to collect menstrual flow. It is reusable and can last for 5 years or longer.', 'Benefits:\n- Reusable, lasting up to 5 years\n- Environmentally friendly\n- Cost-effective over time\n\nDrawbacks:\n- Initial investment required\n- May take time to get used to insertion and removal\n- Risk of leakage if not inserted correctly\n- Potential for allergic reactions to materials like silicone']",to collect menstrual flow
44,who has scored more goals in the premier league,Alan Shearer has scored more goals in the Premier League with 260 goals.,"['The top goalscorer in Premier League history is Alan Shearer with 260 goals. Second is Wayne Rooney with 208 goals. Third is Andy Cole with 187 goals.', 'The criteria for determining the top goalscorers in the Premier League include:\n- Total number of goals scored\n- Number of games played\n- Goals per game ratio\n\nThese criteria are used to rank players in the list of Premier League players with 100 or more goals.']",Alan Shearer
45,who played mark on the show the rifleman,John Ernest Crawford played Mark on the show The Rifleman.,"['Mark on the show The Rifleman is John Ernest Crawford, also known as Johnny Crawford, who played the son of Lucas McCain, portrayed by Chuck Connors.', ""Mark McCain, portrayed by John Ernest Crawford, is the son of Lucas McCain (Chuck Connors) in The Rifleman. His character is known for his on-screen chemistry with Connors and his young age during the show's run from 1958 to 1963. No answer found regarding specific details beyond this general description.""]",John Ernest Crawford
46,when did hawaii become a state and why,"Hawaii became a state on August 21, 1959. (Source: Lists of United States state symbols)","['Hawaii became a state on August 21, 1959.', 'Hawaii became a state on August 21, 1959, after being an independent kingdom and later a territory of the United States. The Kingdom of Hawaiʻi existed from 1810 until 1893 when it was overthrown, followed by a provisional government and a republic before becoming a U.S. territory in 1898. Statehood was granted on August 21, 1959. (Source: Lists of United States state symbols)']",No answer
47,who is the actor that plays ducky on ncis,The actor who plays Ducky on NCIS is David McCallum.,"['Ducky, on NCIS, is Dr. Donald ""Ducky"" Mallard, the team\'s chief medical examiner, portrayed by actor David McCallum since 2003.', 'David Keith McCallum plays Dr. Donald ""Ducky"" Mallard on NCIS.']",David McCallum
48,what was the purpose of a revival meeting during the second great awakening,"The purpose of revival meetings during the Second Great Awakening was to spread Protestant religious revival, attract new members to Baptist and Methodist congregations, and provide emotional and social experiences for participants. (Source: Wikipedia)","['The Second Great Awakening was a Protestant religious revival during the early 19th century in the United States, characterized by Romanticism, enthusiasm, emotion, and an appeal to the supernatural. It began around 1790, gained momentum by 1800, and peaked by the late 1850s. Membership rose rapidly among Baptist and Methodist congregations led by their preachers. (Source: Wikipedia)', 'Revival meetings during the Second Great Awakening featured several characteristics: they were implemented through camp meetings, provided initial encounters with organized religion for settlers, served as social venues, lasted several days, included preaching sessions, and inspired emotional expressions such as dancing, shouting, and singing.']",evangelizing
49,who wrote cant get you out of my head lyrics,"Cathy Dennis and Rob Davis wrote the lyrics for ""Cant Get You Out of My Head.""","['The artist of ""Cant Get You Out of My Head"" lyrics is Kylie Minogue.', 'The lyrics for ""Can\'t Get You Out of My Head"" were written by Cathy Dennis and Rob Davis.']",Cathy Dennis and Rob Davis
50,disney characters for every letter of the alphabet,No answer,"['Abby Mallard, Abigail Gabble, Akela, Al the Alligator, Aladar, Aladdin, Alameda Slim, Alan-a-Dale, Alana, Alcmene, Alice, Adella, Adorabeezle Winterpop, Agent, Agent Wendy Pleakley, Ajax the Gorilla, Annette, April, Apollo, Aquata, Aracuan Bird, Archdeacon, Archimedes Q. Porter, Archimedes', 'Bambi, Bashful, Baylene, Basil of Baker Street, Bear, Binky Beagle, Blake, Bomber Beagle, Bolt, Blue Fairy, Bobble, Bonnie Hopps', 'There are no Disney characters whose names start with the letter Z.']",No answer
51,names of supreme court judges in sri lanka,"Supreme Court Judges in Sri Lanka: Nalin Perera, Prasanna Sujeewa Jayawardena, Buwaneka Aluwihare, Sisira De Abrew, Priyantha Jayawardena, Upaly Abeyratne, Anil Goonaratne, K. T. Chitrasiri, Eva Wansundera, and Priyasath Dep. Chief Justice: Shirani Bandaranayake. Total: 9 judges.","['The current Supreme Court judges of Sri Lanka include Nalin Perera, Prasanna Sujeewa Jayawardena, Buwaneka Aluwihare, Sisira De Abrew, Priyantha Jayawardena, Upaly Abeyratne, Anil Goonaratne, K. T. Chitrasiri, Eva Wansundera, and Priyasath Dep. Shirani Bandaranayake is the current Chief Justice.', 'There are currently 9 Supreme Court judges in Sri Lanka.']",No answer
