,question,answer,ground_truth,value
31,who has played for the most nba teams,"No answer

The provided information lists players who have spent their entire careers with one team, but does not provide data on players who have played for the most number of NBA teams.",No answer,1
32,when did hawaii become a state and why,"Hawaii became a state on August 21, 1959. This date marks the admission of Hawaii as the 50th state of the United States.",No answer,0
33,what is the most current adobe flash player version,"The most current Adobe Flash Player version as of the information provided is 28.0.0.137, released on January 9, 2018.",28.0.0.137,1
34,swan lake the sleeping beauty and the nutcracker are three famous ballets by,"Swan Lake, The Nutcracker, and The Sleeping Beauty are three famous ballets composed by Pyotr Ilyich Tchaikovsky.",Pyotr Ilyich Tchaikovsky,1
35,bond villain has a good head for numbers,"No answer

The provided context does not contain any specific information about a bond villain having a good head for numbers. The context mainly discusses various Bond villains and their objectives, but does not mention any character with this particular trait.",No answer,1
36,how often does a speed limit sign need to be posted,"No answer

The provided context does not specifically address how often speed limit signs need to be posted. It describes various types of speed limit signs and their usage in different regions but does not provide information on the frequency of posting these signs.",No answer,1
37,who has scored the most touchdowns this year,"No answer

The provided context does not contain specific information about who has scored the most touchdowns this year. The data is primarily focused on career statistics and records spanning multiple years.",No answer,1
38,how many episodes are there in dragon ball z,There are 291 episodes in Dragon Ball Z. This is based on the episode list provided in the context.,291,1
39,radio romance ep 4 eng sub my asian tv,"No answer

The provided context does not contain specific information about episode 4 of ""Radio Romance"" with English subtitles available through ""my asian tv."" The closest information is about the broadcast dates of episode 4 on Hotstar, but no details about English subtitles or ""my asian tv"" are given.",No answer,1
40,how many words are in national anthem of pakistan,The national anthem of Pakistan consists of 33 words.,No answer,0
41,lynyrd skynyrd last of a dying breed album,"Lynyrd Skynyrd's album ""Last of a Dyin' Breed"" was released on August 21, 2012. The first single, ""Last of a Dyin' Breed,"" was available on iTunes starting July 9, 2012. The album features the following writers and lengths for its tracks:

1. ""Last of a Dyin' Breed"" - 3:51
2. ""One Day at a Time"" - 3:46
3. ""Homegrown"" - 3:41
4. ""Ready to Fly"" - 5:26
5. ""Mississippi Blood"" - 2:57
6. ""Good Teacher"" - 3:44

This information is sourced from the Wikipedia article on ""Last of a Dyin' Breed.""",No answer,0
42,what was the soviets response to the truman doctrine,"No answer

Based on the provided context, there is no direct information about the Soviet response to the Truman Doctrine. The context focuses on the Truman Doctrine itself and its implications, but does not include any details about the Soviet reaction.",No answer,1
43,cast of law & order special victim unit,"The main cast of Law & Order: Special Victims Unit includes:

- Mariska Hargitay as Detective Olivia Benson
- Christopher Meloni as Detective Elliot Stabler
- Richard Belzer as Detective John Munch
- B. D. Wong as Fin Tutuola
- Michelle Hurd as Monique Jeffries
- Stephanie March as Amanda Rollins
- Ice-T as Detective Chester ""Smitty"" Smalls

Recurring and guest stars vary by season, but some notable recurring cast members include:

- Raúl Esparza
- Florek
- Danny Pino
- Kelli Giddish
- Peter Scanavino

For more specific details about other seasons or characters, additional sources would be needed.",Christopher Meloni,1
44,what is the total eclipse of the heart video about,"The music video for ""Total Eclipse of the Heart"" features Bonnie Tyler clad in white, dreaming or fantasizing about her students in a boys' boarding school. Young men are seen dancing and participating in various school activities and singing in a choir.",No answer,0
45,names of supreme court judges in sri lanka,"The current names of the supreme court judges in Sri Lanka are:

1. Nalin Perera (Chief Justice)
2. Priyasath Dep
3. Eva Wansundera
4. Buwaneka Aluwihare
5. Sisira De Abrew
6. Priyantha Jayawardena
7. Upaly Abeyratne
8. Anil Goonaratne
9. K. T. Chitrasiri

Note that some of these judges have specific terms or positions within the court, such as being a Judge of the Court of Appeal. For the most up-to-date information, you should refer to the latest official sources.",No answer,0
46,where in the constitution is the concept of federalism established,"The concept of federalism is established in the Canadian Constitution Act (formerly known as the British North America Act) of 1867, specifically in **Section 91** and **Section 92**. These sections allocate specific powers of legislation between the federal government and the provincial governments, respectively.",No answer,0
47,where do honey bees live in the world,"Honey bees primarily originate from South and Southeast Asia, specifically regions including the Philippines. However, they have been introduced and can now be found in many parts of the world, including Europe, North America, and various other regions. The Western honey bee (Apis mellifera) has been widely domesticated and is found in many countries outside its original range.",No answer,0
48,are all firestone tires made in the usa,"No answer

Based on the provided context, there is no direct information about whether all Firestone tires are made in the USA. The context mentions that Firestone has operations in multiple locations, including the United States and other countries, but it does not specify the manufacturing locations of the tires. Therefore, the question cannot be answered definitively with the given information.",No answer,1
49,the arp request is sent to which of the following layer 2 destination addresses,The ARP request is sent to the broadcast address `FF:FF:FF:FF:FF:FF`. This broadcast address ensures that the request reaches all devices on the local network segment.,No answer,0
50,central london properties v high trees house 1947,"No answer

The retrieved information does not contain any details about central London properties or High Trees House in 1947. The text primarily discusses the legal case Central London Property Trust Ltd v High Trees House Ltd and does not provide specific information related to the question asked.",No answer,1
51,who designed the garden city of new earswick,"Based on the provided context, Raymond Unwin and Barry Parker were commissioned to produce an overall plan for the new garden village of New Earswick. Therefore, the designers of the garden city of New Earswick were Raymond Unwin and Barry Parker.",The planner Raymond Unwin and the architect Barry Parker,1
52,alison krauss now that i've found you album,"The album ""Now That I've Found You: A Collection"" by Alison Krauss includes the song ""Baby, Now That I've Found You."" This album was released on February 7, 1995, and is a retrospective of Alison Krauss' early recording career. It includes songs from her solo albums, albums with Alison Krauss & Union Station, and some new material. The title track ""Baby, Now That I've Found You"" won the Grammy Award for Best Female Country Vocal Performance.",No answer,0
53,what is the first step in the evolution of the eye,"No answer

Explanation: The provided text does not explicitly describe the first step in the evolution of the eye. It discusses various stages and theories but does not pinpoint a single initial step. Therefore, based on the given context, there is no specific answer to the question.",photoreceptor proteins that sense light,0
54,where is the tv show the curse of oak island filmed,"No answer

Based on the provided context, there is no specific mention of where ""The Curse of Oak Island"" is filmed. The context discusses filming locations for other shows but does not provide information about the filming locations for ""The Curse of Oak Island.""",Oak Island,0
55,where is gall bladder situated in human body,"The gallbladder is situated just beneath the liver in the human body. Specifically, it rests in a depression in the surface of the lower liver and is pear-shaped. It is divided into three sections: the fundus, body, and neck.",beneath the liver,1
56,who is the current director of the us mint,"No answer

The current director of the U.S. Mint is listed as vacant in the provided information.",David Motl,0
57,youtube phil collins don't lose my number,"The official music video for ""Don't Lose My Number"" by Phil Collins can be found on YouTube. In the video, Collins parodies other music videos and movies of the time, including ""California Girls"" by David Lee Roth, ""I'm Still Standing"" by Elton John, ""Every Breath You Take"" by The Police, and ""You Might Think"" by The Cars, as well as films like Mad Max 2 and various samurai movies and Westerns.",No answer,0
58,when does karev die in grey's anatomy,"No answer

The provided context does not contain any information about Alex Karev dying in Grey's Anatomy.",No answer,1
59,who was named african footballer of the year 2014,"No answer

Based on the provided context, there is no specific information about who was named African Footballer of the Year in 2014. The list only shows that Yaya Touré won the award in 2014, but it does not provide the source or additional details to confirm this. Therefore, according to the core rules, we cannot provide an answer without clear evidence.",Yaya Touré,0
60,meaning of joy to the world by three dog night,"No answer

The provided context does not contain any information about the meaning of the song ""Joy to the World"" by Three Dog Night. The context mainly discusses the song's release, chart performance, and some background details but does not explain the meaning or lyrics of the song.",No answer,1
61,what is the main mineral in lithium batteries,The main minerals in lithium batteries are spodumene and petalite. These are the most commercially viable sources of lithium.,lithium,1
62,why did alex and ellen break up on family ties,"No answer

The provided context does not specifically mention why Alex and Ellen broke up. The closest information is that Alex went on to sleep with Olivia again and was caught by Izzie, leading to a breakup with Izzie. There is no direct information about Alex and Ellen's breakup.",No answer,1
63,right to property according to the constitution of india is a,"According to the Constitution of India, the right to property is no longer a fundamental right after the Forty-Fourth Amendment of 1978. However, it is still a constitutional right, and aggrieved citizens can challenge government actions in court if they appear unfair.",constitutional right,1
64,who is the president of usa right now,"The current president of the United States is Donald Trump, who has been serving since January 20, 2017.",Donald Trump,1
65,what is the use of adobe flash cs3 professional,"Adobe Flash CS3 Professional was used for creating animations, rich internet applications, desktop applications, mobile applications, and mobile games. It supported the ActionScript 3.0 programming language, enabling the development of multimedia content and interactive applications. Additionally, it allowed for streaming audio and video, and captured user input through various devices.",supported modern programming practices and enabled business applications to be developed with Flash,1
66,did anyone die from ebola in the us,"Yes, Thomas Eric Duncan died from Ebola in the United States. He was diagnosed with Ebola in Dallas, Texas, and passed away on October 8, 2014. This was the first and only death from Ebola within the United States during the 2014 Ebola outbreak.",No answer,0
67,how much is john incredible pizza to get in,"No answer

The provided context does not contain information about the cost to get a slice or meal at John’s Incredible Pizza Company. The documents focus on the company’s history, locations, and some industry-related data but do not specify pricing information.",No answer,1
68,what part of the brain is in the middle cranial fossa,The middle cranial fossa houses the temporal lobes of the brain and supports them anatomically. It also contains important structures such as the cavernous sinus and the internal carotid artery. No answer regarding specific other brain parts located within the middle cranial fossa other than the temporal lobes.,the temporal lobes,1
69,where do the greasers live in the outsiders,"No answer

Explanation: The provided context does not contain specific information about where the greasers live in The Outsiders. The text mentions that the story takes place in Tulsa, Oklahoma, in 1965, but it does not specify the exact locations of the greasers' homes or neighborhoods.","Tulsa, Oklahoma",0
70,who died in the plane crash greys anatomy,"Dr. Lexie Grey died in the plane crash during the final episode of Grey's Anatomy's eighth season, titled ""Flight.""",Lexie,1
71,make a project report on agricultural crops grown in india,"Project Report on Agricultural Crops Grown in India

**Overview**
India has a diverse and extensive agricultural sector, contributing significantly to its economy. As of 2011, agriculture accounted for about 16% of GDP and 10% of export earnings. India's arable land area is the second largest globally, and its irrigated crop area is the largest in the world.

**Major Crops**
1. **Rice**: India is the world's largest producer of rice. Average yields have increased from 1123 kg/ha in 1970-1971 to 2240 kg/ha in 2010-2011.
2. **Wheat**: Similarly, wheat production has seen significant growth, from 1307 kg/ha in 1970-1971 to 2938 kg/ha in 2010-2011.
3. **Pulses**: Pulses yield has improved from 524 kg/ha to 689 kg/ha over the same period.
4. **Oilseeds**: Oilseed production has increased from 579 kg/ha to 1325 kg/ha.
5. **Sugarcane**: Sugarcane production has notably increased from 48322 kg/ha to 68596 kg/ha.
6. **Tea**: Tea production has also seen growth, from 1182 kg/ha to 1669 kg/ha.
7. **Cotton**: Cotton yield has risen from 106 kg/ha to 510 kg/ha.

**Horticulture**
India's horticultural produce, including fruits, vegetables, and nuts, has doubled over the past decade. In 2013, horticulture production exceeded grain output for the first time, reaching 277.4 million metric tonnes. This includes 81 million tonnes of fruits and 162 million tonnes of vegetables.

**Productivity Growth**
India has shown steady average nationwide annual increases in crop yields over the last 60 years, largely due to the Green Revolution and improvements in infrastructure and knowledge.

**Challenges and Potential**
Despite significant progress, India's crop yields are still only 30% to 60% of the best sustainable yields achievable in developed and other developing countries. There is substantial potential for further productivity and output gains.

**Export**
India is the seventh largest agricultural exporter worldwide, exporting $38 billion worth of agricultural products in 2013. It serves developing and least developed nations, with exports reaching over 120 countries.

This report highlights the diversity and importance of agricultural crops in India, along with their productivity trends and export significance.",No answer,0
72,where do they grow hops in the us,"Hops are grown in several regions in the United States, primarily in Washington, Oregon, and California. Historically, New York was a significant producer, but issues with diseases like powdery and downy mildew led to a decline in production by the 1920s. Today, commercial hop cultivation remains centered around the Yakima Valley in Washington and the Willamette Valley in Oregon.",the Yakima (Washington) and Willamette (Oregon) valleys,1
73,who were some of the survivors on the titanic,"Some of the survivors of the Titanic include:

- Millvina Dean (1912–2009)
- Barbara West (1911–2007)
- Lillian Asplund (1906–2006)
- Winnifred Quick (1904–2002)
- Michel Navratil (1908–2001)

These individuals were among the last remaining survivors of the Titanic disaster before passing away.",No answer,0
74,who plays nikki in need for speed carbon,"No answer

The provided context does not contain information about who plays Nikki in Need for Speed Carbon. It mentions that Vaugier appeared in Need for Speed: Carbon as Nikki, but it does not provide any information about Vaugier's identity or background.",No answer,1
75,what's the dog's name on tom and jerry,"No answer

Explanation: The provided context does not mention a dog named Butch or any other specific dog character in Tom and Jerry shorts that matches the description given in the question.",Spike,0
76,where was the music video what ifs filmed,"No answer

The retrieved documents do not provide information about the filming location of the music video for ""What Ifs"" by Kane Brown featuring Lauren Alaina. The documents mention a music video for another song (""What Is Love"" by Hootie & the Blowfish) that was filmed in Los Angeles and another one for ""What Ifs"" that was filmed along the Californian coast at The Inn at Newport Ranch. However, these are not the same music video.","along the Californian coast at The Inn at Newport Ranch, a resort and cattle ranch to the north of San Francisco",0
77,in which regions are most of africa petroleum and natural gas found,"Most of Africa's petroleum and natural gas are found in the Gulf of Guinea region, particularly in Nigeria and parts of West Africa. Nigeria, being the largest oil and gas producer in Africa, has significant reserves in the Niger Delta Basin, which includes 78 of its 159 oil fields. Other areas in West Africa also contain substantial oil and gas reserves.",Nigeria,1
78,what platform is sandringham line at flinders st,The Sandringham line uses Platform 13 at Flinders Street station.,No answer,0
79,horatio spafford story it is well with my soul,"Horatio Spafford wrote the hymn ""It Is Well with My Soul"" after the tragic loss of his four daughters aboard the S.S. Ville du Havre during a transatlantic voyage. The hymn expresses his faith and comfort in God's care, even in the face of great sorrow. Here are the lyrics:

When peace, like a river, attendeth my way,
When sorrows like sea billows roll;
Whatever my lot, Thou hast taught me to say,
It is well, it is well with my soul.

(Refrain:)
It is well (it is well),
with my soul (with my soul),

This poem reflects Spafford's deep spiritual conviction and the comfort he found in his faith during his personal tragedy.",No answer,0
80,what is the string of 882 islands extending southwest from the southern tip of florida known as,No answer,No answer,1
81,who played in the movie harper valley pta,"Barbara Eden, Nanette Fabray, Ronny Cox, Louis Nye, and Susan Swift played in the movie Harper Valley PTA.",No answer,0
82,in which sea pearl is found in india,"No answer

The provided context does not specifically mention which sea in India pearl is found in. While it discusses pearl diving and pearl production in various parts of the world, including the Indian Ocean, it does not pinpoint a specific sea in India where pearls are found.",the Indian Ocean,0
83,panda is a national animal of which country,The giant panda (Ailuropoda melanoleuca) is the national animal of China.,China,1
84,which biome is characteristic of central sub saharan africa nearest the equator,"No answer

Explanation: The provided context does not explicitly mention which biome is characteristic of central Sub-Saharan Africa nearest the equator. While it describes various biomes and climate zones, it does not specifically identify the biome for central Sub-Saharan Africa closest to the equator.",No answer,1
85,where does kylo ren's name come from,"According to the information provided, Kylo Ren's name came about when he joined a group called the Knights of Ren. Specifically, Robbie Collin of The Telegraph described Ren as ""a hot-headed, radicalised Dark Side jihadi, whose red lightsaber splutters and crackles as violently as his temper."" This suggests that the name ""Kylo Ren"" reflects his fiery and impulsive nature, aligning with his role as a member of the Knights of Ren.","the character, ""came to the name Kylo Ren when he joined a group called the Knights of Ren.""",1
86,how many countries are a part of opec,"As of May 2017, OPEC has 14 member countries.",14,1
87,what type of car is a jeep considered,"Jeep is primarily considered a brand that produces sport utility vehicles (SUVs) and off-road vehicles. Current Jeep models include SUVs like the Wrangler, Grand Cherokee, and Compass. Historically, Jeeps have also included pickup trucks and other off-road vehicles.",light utility vehicles,1
88,with which regions does australia have historical ties,"Based on the provided context, Australia has historical ties with several regions, including:

- **Southeast and East Asia**: Countries like Indonesia, Singapore, Malaysia, Thailand, the Philippines, Brunei, and Papua New Guinea are part of this region, with which Australia maintains close relations through organizations like the ASEAN Regional Forum and the East Asia Summit.

- **Oceania**: Neighboring countries such as Papua New Guinea, Fiji, Nauru, Solomon Islands, Tonga, and New Zealand share historical and cultural ties with Australia.

- **United Kingdom**: While not explicitly listed as a region, Australia has strong historical and cultural ties with the UK, evidenced by shared history, language, and institutions.

These ties are rooted in shared history, cultural exchanges, economic cooperation, and security interests.",No answer,0
89,where are the coastal plains of india situated,"The coastal plains of India are situated between the Eastern Ghats and the Bay of Bengal, stretching from Tamil Nadu in the south to West Bengal in the north through Andhra Pradesh and Odisha. This region is also referred to as the Eastern Coastal Plains.",between the Eastern Ghats and the Bay of Bengal,1
90,who did deion sanders go in the hall of fame as,"Deion Sanders was inducted into the Pro Football Hall of Fame on August 6, 2011.",Cornerback,0
91,what is the name of manchester united stadium,The name of Manchester United stadium is Old Trafford.,Old Trafford,1
92,where is most vascular tissue found in plants,"Most vascular tissue, including xylem and phloem, is found in the form of vascular bundles, which are distributed throughout the stem and roots of plants. In leaves, the vascular bundles are located among the spongy mesophyll, with xylem oriented toward the adaxial surface and phloem toward the abaxial surface.",No answer,0
93,how common is the word in the english language,"The most common word in English, based on the Oxford English Corpus, is ""the."" This word appears very frequently, accounting for a significant portion of all words in the corpus.",No answer,0
94,who played the mother in the black stallion,"No answer

The provided information does not mention any actress playing the mother in ""The Black Stallion"" film. The document lists various actors and characters but does not include a role for a mother character.",Teri Garr,0
95,who sings the theme song for the proud family,"The theme song for The Proud Family is sung by Solange Knowles and Destiny's Child. Specifically, Destiny's Child provided the backup vocals for Solange Knowles, who was the lead vocalist.",Destiny's Child,1
96,who wrote cant get you out of my head lyrics,"""Cant Get You Out of My Head"" lyrics were jointly written by Cathy Dennis and Rob Davis.",Cathy Dennis and Rob Davis,1
97,who wrote the poem the woods are lovely dark and deep,"Robert Frost wrote the poem ""Stopping by Woods on a Snowy Evening.""",No answer,0
98,who did shakespeare write his play hamlet for,"No answer

Based on the provided context, there is no specific mention of who Shakespeare wrote his play Hamlet for. The information focuses on details about the play itself, its authorship, and performances, but does not address who Shakespeare intended the play to be written for.","almost certainly wrote his version of the title role for his fellow actor, Richard Burbage",0
99,are there many copies of sir gawain and the green knight,"No answer

The provided context does not specifically address the number of copies or versions of Sir Gawain and the Green Knight. While it mentions different adaptations and editions, it does not provide information on the quantity of physical or digital copies.",No answer,1
100,who is rose in the fall season 2,"Rose is Mal's wife and the stepmother to Jake, Christian, and Kathleen. She works as the office manager/secretary for Doyle and Doyle. In Season 2, Rose deals with the consequences of Mal's recent heart attack and faces a secret regarding her engagement ring, which her mother stole. Additionally, Rose has a complex relationship with her husband's granddaughter, Tinny, evolving into motherly affection over the series.",a woman who had a sexual relationship with Paul whilst at university,0
101,percy jackson and the olympians sea of monsters summary,"The Sea of Monsters follows Percy Jackson as he and his friends embark on a quest to retrieve the Golden Fleece. They must rescue Percy's satyr friend Grover from the Cyclops Polyphemus and save Camp Half-Blood from a Titan's attack. Along the way, they encounter various challenges and mythical creatures, including Medusa and the Minotaur. Percy also faces personal challenges, such as dealing with a prophecy that threatens him and his friends. The story culminates in a battle where Percy and his companions use their wits and courage to overcome the Titan and save the camp.",No answer,0
102,who holds the record for longest motorcycle jump,"No answer

Explanation: The provided context does not contain any information about the longest motorcycle jump record.",No answer,1
103,where does the story the great gatsby take place,"The story of *The Great Gatsby* primarily takes place on prosperous Long Island, specifically in the fictional towns of West Egg and East Egg. The main events occur in the summer of 1922, with key settings including Nick Carraway's house in West Egg and Daisy Buchanan's house in East Egg.",the fictional town of West Egg on prosperous Long Island,1
104,disney characters for every letter of the alphabet,"Here are some Disney characters starting with each letter of the alphabet:

A - Aladdin
B - Bolt
C - Chicken Little
D - Donald Duck
E - Elsa (from Frozen)
F - Flynn Rider (from Tangled)
G - Goofy
H - Hercules
I - Igor (from The Haunted Mansion)
J - Jack Skellington (from The Nightmare Before Christmas)
K - King Louis (from The Lion King)
L - Lilo from Lilo & Stitch
M - Mickey Mouse
N - Nemo from Finding Nemo
O - Olaf from Frozen
P - Peter Pan
Q - Quasimodo from The Hunchback of Notre Dame
R - Rapunzel
S - Simba from The Lion King
T - Tigger from Winnie the Pooh
U - Ursula from The Little Mermaid
V - Voldemort (from Harry Potter, though not strictly Disney)
W - Woody from Toy Story
X - Xena from Hercules
Y - Yzma from The Emperor's New Groove
Z - Zeus from Hercules",No answer,0
105,7 deadly sins signs of a holy war,"No answer

The provided context does not contain specific information about the ""7 deadly sins signs of a holy war."" The context describes events from the anime series and manga, but it does not address the exact phrase ""7 deadly sins signs of a holy war.""",No answer,1
106,when did the dallas cowboys win their last playoff game,"No answer

Based on the provided context, the Dallas Cowboys lost five consecutive playoff games between 1997 and 2008. There is no specific mention of when they won their last playoff game. Therefore, there is no clear answer to the question ""When did the Dallas Cowboys win their last playoff game?"" within the given information.",2014,0
107,why is the new disney movie called coco,"No answer

The provided context does not specifically explain why the new Disney movie is called ""Coco."" The information focuses on the release dates, box office performance, and other details about the film but does not provide the reason behind the title.",No answer,1
