,question,answer
21,who did deion sanders go in the hall of fame as,Deion Sanders went into the Hall of Fame as a member of the NFL Canton Hall of Fame. He was inducted as both a player and a broadcaster.
22,who played daisy duke in the new dukes of hazzard,"Sara Rue played Daisy Duke in the 1990s TV series ""The Dukes of Hazzard."""
23,what is the most current adobe flash player version,"As of October 2023, Adobe Flash Player has been officially discontinued and no longer receives updates or support. Users are advised to transition to modern technologies like HTML5 for web content."
24,how much energy does coal produce in the us,"Coal produces about 19% of total U.S. electricity generation, which equates to approximately 825 billion kilowatt-hours (kWh) annually."
25,who plays elsa's aunt in once upon a time,"Annette O'Toole plays Elsa's aunt, Margret, on Once Upon a Time."
26,who had the longest tenure as moderator on meet the press,"Curtis ""Drew"" Pelath held the record for the longest tenure as moderator of Meet the Press, serving from 1987 to 2016."
27,how long is the famous suspension bridge in san francisco and what is it called,The Golden Gate Bridge is approximately 1.7 miles (2.7 kilometers) long.
28,where is the national championship for college football played,"The National Championship for college football is typically played at one of two venues: the Rose Bowl in Pasadena, California, or the Championship Game hosted by a rotating selection of other stadiums across the country."
29,meaning of lyrics to wade in the water,"""Wade in the Water"" is a spiritual song with lyrics that metaphorically guide slaves to safety during the Underground Railroad, advising them to follow rivers or streams (wade) for guidance and protection from pursuers."
30,how often does a speed limit sign need to be posted,"Speed limit signs should generally be posted at least every 1/2 mile (800 meters) along highways, but this can vary based on specific road conditions, traffic volume, and visibility."
31,when are centrally acting skeletal muscle relaxants used,"Centrally acting skeletal muscle relaxants are used for treating muscle spasms, pain, and hypertonia caused by conditions such as fibromyalgia, multiple sclerosis, spinal cord injuries, and other neurological disorders."
32,when does bloom find out who she is,"Bloom finds out who she is in the episode ""The Truth About Bloom"" from Winx Season 1, Episode 20."
33,who wrote song what a friend we have in jesus,"The song ""What a Friend We Have in Jesus"" was written by Joseph Scriven."
34,who decides the number of judges in the high court,"The number of judges in a High Court is decided by the President of India, based on recommendations from the Chief Justice of India and other senior judges."
35,in which sea pearl is found in india,"Pearls are found in the Arabian Sea off the coasts of Gujarat, particularly in the Gulf of Khambhat."
36,what is the payout for the texas bowl,"The Texas Bowl typically offers a payout of around $1 million per team, but exact amounts can vary based on sponsorship deals and other factors."
37,what are the top five wine producing states,"1. California
2. Washington
3. Oregon
4. New York
5. Pennsylvania"
38,where is jj's husband on criminal minds,"JJ's husband, David Rossi, works as an FBI Special Agent and was a member of the Behavioral Analysis Unit (BAU) on Criminal Minds."
39,who plays sheila carter on the bold and the beautiful,Melissa Ordway plays Sheila Carter on The Bold and the Beautiful.
40,where does the saying like a boss come from,"The phrase ""like a boss"" originated in the 1980s from the arcade game ""Marble Madness."" It was popularized by the movie ""There Goes the Neighborhood"" (1990) and has since become a common expression for doing something confidently or skillfully."
41,which site of an enzyme is called allosteric site,"The allosteric site of an enzyme is where a regulatory molecule binds, causing a change in the enzyme's conformation and activity."
42,where are unipolar neurons found in spinal cord,"Unipolar neurons in the spinal cord are primarily found in the dorsal root ganglia, which are located outside the spinal cord but connected to it via sensory nerves."
43,what is the point of a menstrual cup,"The point of a menstrual cup is to collect menstrual flow internally, providing an alternative to tampons or pads for periods."
44,who has scored more goals in the premier league,Wayne Rooney holds the record for most Premier League goals with 183.
45,who played mark on the show the rifleman,Johnny Crawford played Mark McCloud on The Rifleman.
46,when did hawaii become a state and why,"Hawaii became a U.S. state on August 12, 1959. It was admitted due to political decisions aimed at balancing representation in Congress and reflecting the growing influence of Pacific territories following World War II."
47,who is the actor that plays ducky on ncis,"The actor who plays Ducky on NCIS is Ralph Waite, and later David McCallum took over the role."
48,what was the purpose of a revival meeting during the second great awakening,"The purpose of revival meetings during the Second Great Awakening was to inspire religious conversion, revive spiritual fervor, and spread evangelical Christianity."
49,who wrote cant get you out of my head lyrics,"Fiona Apple wrote the lyrics for ""Can't Get You Out of My Head."""
50,disney characters for every letter of the alphabet,"A: Aladdin  
B: Bambi  
C: Cinderella  
D: Donald Duck  
E: Elsa (Frozen)  
F: Fantasia  
G: Gaston (Beauty & the Beast)  
H: Hercules  
I: Iago (Aladdin)  
J: Jasmine (Aladdin)  
K: Kida (Atlantis)  
L: Lilo from Lilo & Stitch  
M: Mickey Mouse  
N: Nemo (Finding Nemo)  
O: Olaf (Frozen)  
P: Peter Pan  
Q: Quasimodo (Hunchback of Notre Dame)  
R: Rapunzel  
S: Simba (The Lion King)  
T: Tiana (Princess and the Frog)  
U: Ursula (Little Mermaid)  
V: Vanellope (Wreck-It Ralph)  
W: Winnie the Pooh  
X: Xehanort (Kingdom Hearts)  
Y: Yzma (Emperor's New Groove)  
Z: Zazu (Lion King)"
51,names of supreme court judges in sri lanka,"The Sri Lankan Supreme Court Judges are appointed by the President, with approval from Parliament. As of October 2023, the current Chief Justice is Shirani Bandaranayake. Other justices include Jayampathy Wickremaratne, Mahinda Deshapriya, Prasanna Vitharana, and others. For an exact list, check the latest official government website or judicial records."
52,disease of the light sensitive innermost layer of the eyeball,Retinitis Pigmentosa
53,who wrote the poem the woods are lovely dark and deep,"Robert Frost wrote the poem ""The Woods Are Lovely, Dark and Deep."""
54,who said if a tree falls in the woods and nobody hears it,"The phrase ""if a tree falls in the woods and nobody hears it"" is often attributed to David Hume, although it was first used by George Berkeley."
55,who wants a heart in the wizard of oz,The Tin Man wants a heart.
56,who is the guy who walked across the twin towers,The man who walked across the Twin Towers was Philippe Petit.
57,how do you think south africa compared with singapore,"South Africa and Singapore are vastly different in terms of geography, culture, economy, and governance. South Africa has a diverse population, rich history, and challenges related to inequality and poverty, while Singapore is known for its strong economy, efficient government, and high standard of living. Comparisons between them highlight their unique strengths and weaknesses."
58,when is the last time the vikings were in the nfc championship,"The Minnesota Vikings last appeared in the NFC Championship on January 17, 2016."
59,who said the poison is in the dose,"Paracelsus, a Swiss-German physician and alchemist, said ""All things are poison and nothing is without poison; only the dose determines that a thing is not a poison."""
60,what does the transfer case control module do,"The transfer case control module manages and coordinates the operation of the transfer case, ensuring proper engagement and disengagement for different driving conditions."
61,where do they grow hops in the us,"Hops are grown in several regions in the United States, including Washington, Oregon, Idaho, Colorado, New York, Michigan, and Wisconsin."
62,where does kevins family go in home alone 2,Kevin's family goes on vacation to Mexico in Home Alone 2.
63,how many words are in national anthem of pakistan,The lyrics of the National Anthem of Pakistan consist of 146 words.
64,when was the first australian prime minister elected,"The first Australian Prime Minister, Edmund Barton, was elected in 1901."
65,who sings the theme song for the proud family,Tika Sumpter sings the theme song for The Proud Family.
66,what is the short story the gift of the magi about,"""The Gift of the Magi"" is a short story by O. Henry about a young couple, Jim and Della, who sacrifice their most prized possessions—Della's hair for Jim's watch chain and Jim's watch for Della's combs—to buy Christmas gifts for each other, only realizing afterward that they have given away what was most valuable."
67,cast of law & order special victim unit,"The main cast includes Mariska Hargitay, Ice-T, Christopher Meloni, Sam Waterston, Dann Florek, Richard Belzer, and Angie Harmon."
68,who wrote the book the origin of species,"Charles Darwin wrote the book ""The Origin of Species."""
69,when is the next deadpool movie being released,"The next ""Deadpool"" movie, titled ""Deadpool 2,"" was released on May 18, 2018. The sequel, ""Deadpool 2: X-Force,"" is scheduled for release on September 7, 2019."
70,who started the state of the union address,George Washington initiated the State of the Union Address tradition in 1790.
71,who is the owner of reading football club,"The Reading Football Club is owned by a company called The Reading Football Trust Limited, which was established in 2018."
72,who is the head a in pretty little liars,"The ""A"" in Pretty Little Liars refers to the mysterious antagonist known as ""A."" The character behind this persona changes throughout the series, with multiple individuals taking on the role of ""A."""
73,how many countries are a part of opec,14 countries are currently part of OPEC.
74,who sings the song you'll never find another love like mine,"Trisha Yearwood sings the song "" You'll Never Find Another Love Like Mine ""."
75,where is gall bladder situated in human body,"The gallbladder is situated under the liver, on the right side of the abdomen."
76,ed edd n eddy double d boy or girl,Double D is a boy.
77,how long have we been celebrating pi day,"Pi Day has been celebrated since 1988, making it over 34 years old as of 2023."
78,with which regions does australia have historical ties,"Australia has historical ties with various regions including Britain, New Zealand, Southeast Asia, Pacific Islands, and India."
79,who sang rip it up and start again,"The Clash sang ""Rip It Up and Start Again."""
80,what is the first basic process in the light reaction of photosynthesis,"The first basic process in the light reaction of photosynthesis is the absorption of light by chlorophyll in chloroplasts, leading to the excitation of electrons."
81,who sings theme tune to orange is the new black,"The theme tune to Orange Is the New Black is sung by Rihanna with her song ""Birthday Cake""."
82,where no man has gone before episode cast,"The episode ""Where No Man Has Gone Before"" from Star Trek: The Original Series features a cast including:
- James T. Kirk (William Shatner)
- Spock (Leonard Nimoy)
- Dr. McCoy (DeForest Kelley)
- Gary Seven (William Shatner in a guest role)"
83,who did the astros play last time they were in the world series,The Astros played the Los Angeles Dodgers last time they were in the World Series in 2019.
84,where do the royalties for winnie the pooh go,"The royalties from Winnie-the-Pooh typically go to the copyright holders, which include the estate of A.A. Milne (through licensing agreements), Disney (which owns the rights since 1961), and other partners involved in merchandise and publishing."
85,which mode is used for short wave broadcast service,"Shortwave broadcast services typically use the HF (High Frequency) band, which ranges from 3 to 30 MHz. This frequency range allows signals to propagate via ionospheric reflection, enabling long-distance transmission around the globe."
86,what is the significance of the sahara desert,"The Sahara Desert is significant for its vast size, extreme climate, cultural impact, ecological importance, and role in global weather patterns."
87,where is most vascular tissue found in plants,"Most vascular tissue, known as xylem and phloem, is found in the stems, roots, and leaves of plants."
88,who plays the voice of johnny in sing,"Seth MacFarlane voices Johnny in ""Sing."""
89,when will the flash season 4 episode 17 come out,The exact release date for The Flash Season 4 Episode 17 has not been announced yet. Keep an eye on official sources like the show's website or social media channels for updates.
90,who was the killer in the movie i know what you did last summer,"The killer in the movie ""I Know What You Did Last Summer"" was Billy Nolan, played by actor John Krish."
91,when was the last time the world series went less than 7 games,"The last World Series that went less than 7 games was in 2020, which concluded in 6 games."
92,which is the lion's mane jellyfish's species within its genus,Cyanea capillata
93,who starred in the movie natural born killers,"Woody Harrelson, Tommy Lee Jones, Juliette Lewis, Harry Dean Stanton, Tom Sizemore, Raul Julia"
94,what is the largest magnitude earthquake that has occurred in the pacific northwest,"The Cascadia Earthquake, estimated at a magnitude of around 9.0, is the largest known earthquake in the Pacific Northwest."
95,what is the longest pier in the uk,"The longest pier in the UK is the South Pier at Morecambe, Lancashire, measuring approximately 1.3 miles (2.1 kilometers) long."
96,what is the share of agriculture in indian economy,The agricultural sector accounts for approximately 15-20% of India's GDP and employs around 50% of the workforce.
97,when did they stop making pull tabs on beer cans,"Pull tabs were phased out in the United States starting around 1990 due to safety concerns, with most manufacturers completely stopping their use by the late 1990s."
98,swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky
99,who sings too much time on my hands lyrics,"The song ""Too Much Time on My Hands"" is sung by Hall & Oates."
100,what is the most common blood type in sweden,The most common blood type in Sweden is O negative (O).
101,who sang a whiter shade of pale first,"The group Jethro Tull sang ""A Whiter Shade of Pale"" first, released in 1968."
102,in a microsoft access table what does a row of information represent,A row of information in a Microsoft Access table represents a single record or instance of data.
103,when did toyota first come to the united states,Toyota first came to the United States in 1957.
104,where is the tv show the curse of oak island filmed,"The TV show ""The Curse of Oak Island"" is filmed on Oak Island, Nova Scotia, Canada."
105,when is the state of the union televised,The State of the Union address is typically televised annually in early February or late January. The exact date varies each year but usually falls around mid-January to mid-February.
106,what do the films mean in high castle,"The films in ""The Handmaid's Tale"" represent dystopian narratives that critique totalitarianism, gender roles, and societal control. In ""The Handmaid's Tale,"" they symbolize resistance, rebellion, and hope amidst oppression."
107,who invented the cornell method of note taking,The Cornell Method of note-taking was developed by Professor Walter Ulrich at Cornell University.
108,my first love was a castle in the sky,"This appears to be a line from the song ""First Love"" by Enya. The full lyrics are: ""My first love was a castle in the sky, with towers of gold and ivory."""
109,name a food you might eat on thanksgiving,Roast turkey
110,what is the use of adobe flash cs3 professional,"Adobe Flash CS3 Professional was used for creating animations, interactive content, and rich media applications for websites and mobile devices. It supported vector graphics, animation tools, and multimedia integration."
111,who has the rights to alice in wonderland,"The rights to ""Alice in Wonderland"" are currently owned by Disney, which acquired them from the original author's estate."
112,who are the characters in yo gabba gabba,"The main characters in Yo Gabba Gabba! are Muno, Brobee, Toodely, Plex, Foofa, and George."
113,what kind of fish live in the salton sea,"Fish species found in the Salton Sea include croaker, cornetfish, tilapia, and bass."
114,when was i look at the world poem written,"The poem ""I, Too, Sing America"" by Langston Hughes was published in 1926."
115,india and china went to war in 1962,"Yes, India and China went to war in 1962, known as the Sino-Indian War or the Chola-Kumaon Conflict."
116,when is the next tangled the series episode coming out,"The next ""Tangled: The Series"" episode has not been announced yet. Check official Disney sources for updates."
117,what causes cracked skin at the corners of your mouth,"Cracked skin at the corners of your mouth, known as angular cheilitis, can be caused by nutritional deficiencies (like vitamin B), moisture or saliva buildup, allergies, infections, or dryness."
118,the primary reason for the creation of federal whistleblower statutes was to,To protect employees who report illegal or unethical activities within their organizations from retaliation.
119,alison krauss now that i've found you album,"Alison Krauss' album ""Now That I've Found You"" was released in 2017."
120,when did the dallas cowboys win their last playoff game,"The Dallas Cowboys won their last playoff game on January 17, 2021."
121,when was the last time villanova won the ncaa basketball championship,Villanova last won the NCAA Basketball Championship in 2016.
122,why did the attack on pearl harbor take place,"The attack on Pearl Harbor took place because Japan sought to eliminate the United States Pacific Fleet as a threat to its conquests in Southeast Asia and the Pacific, hoping to gain strategic advantage and force America into an unfavorable peace agreement."
123,where was a time for choosing speech given,"The ""A Time for Choosing"" speech was delivered by U.S. Senator Everett Dirkson on October 14, 1952, during his re-election campaign in Illinois."
124,when is the last time the philadelphia won the superbowl,The Philadelphia Eagles last won the Super Bowl in 2018 (Super Bowl LII).
125,what type of political system does el salvador have,El Salvador has a democratic republican political system with a presidential form of government.
126,what is the name of the hyena in lion king,"Edward ""Ed"" Hyena, commonly known as Ed the Hyena"
127,where are the winter olympics and when do they start,"The 2023 Winter Olympics will be held in France, specifically in Courchevel and Les Trois Vallees, from February 6 to February 20, 2024."
128,what are the requirements of passing national senior certificate,"To pass the National Senior Certificate (NSC) in South Africa, a student must:
1. Complete Grade 12.
2. Achieve at least 40% in each subject.
3. Pass all required subjects, including at least one language and mathematics or an equivalent subject.
4. Meet specific subject combinations based on university entrance requirements if planning to apply for higher education."
129,when does sam realize he is jim in ghost whisperer,"Sam realizes he is Jim at the end of season 1, episode 20 (""The Journey Home"")."
130,what kind of guns are allowed in switzerland,"In Switzerland, citizens can own certain types of firearms for self-defense, hunting, and military purposes. These include rifles, shotguns, and handguns. However, ownership requires a license and strict regulations."
131,where is the crown of thorns starfish located,"The Crown of Thorns Starfish (Acanthaster planci) is primarily found in the Indo-Pacific region, including coral reefs in Australia, Hawaii, Indonesia, Fiji, and other Pacific islands."
132,where is the host file located in windows server 2008 r2,"The Hosts file in Windows Server 2008 R2 is located at: 
C:\Windows\System32\Drivers\Etc\Hosts"
133,who did shakespeare write his play hamlet for,"Shakespeare wrote ""Hamlet"" for the Court of Elizabeth I in England during the Jacobean era."
134,where did the first african american air force unit train,"The Tuskegee Airmen, the first African American air force unit, trained at Tuskegee Army Air Field in Alabama."
135,what is the current mac os operating system,"The current Mac OS operating system is macOS Ventura, released on October 24, 2022."
136,who's playing in the world series and when is it,"The teams playing in the World Series change each year, but typically feature the American League champion versus the National League champion. The 2023 World Series starts on October 17th. For exact dates and participating teams, check the latest sports news or official MLB website."
137,genre of diary of a wimpy kid the getaway,Action-Comedy
138,did anyone die from ebola in the us,"Yes, several people died from Ebola in the United States."
139,which country has the smallest population in europe,The country with the smallest population in Europe is San Marino.
140,when did united states enter world war i,"The United States entered World War I on April 17, 1917."
141,are there many copies of sir gawain and the green knight,"Yes, there are several copies of ""Sir Gawain and the Green Knight,"" with the most famous being the Cotton Nero A.x manuscript in the British Library."
142,what is nginx and what is it used for,"Nginx (engine-x) is a high-performance web server and reverse proxy. It is commonly used for serving static content, load balancing, caching, and handling HTTP requests efficiently."
143,what caused the breakup of the democratic republican party,"The Democratic Republican Party broke up due to ideological differences, personal rivalries, and the rise of new political parties like the Whigs and Democrats in the early 19th century."
144,what is the weight of a honda fit,"The weight of a Honda Fit varies depending on the model, trim level, and engine type. Generally, it ranges from approximately 1,900 to 2,800 pounds (862 to 1,270 kg)."
145,what is earth's magnetic field responsible for,"Earth's magnetic field is responsible for protecting us from solar winds, guiding compass needles, creating auroras, and influencing navigation systems."
146,when are two events said to be independent,Two events are said to be independent if the occurrence of one event does not affect the probability of the other event occurring.
147,what is the string of 882 islands extending southwest from the southern tip of florida known as,The string of 882 islands extending southwest from the southern tip of Florida is known as the Florida Keys.
148,what is the lowest recorded temperature on mount vinson,The lowest recorded temperature on Mount Vinson is -37°C (-34.6°F).
149,when was catch me if you can made,"Catch Me If You Can was released in 1927 as a song by George Olsen and Jimmy O'Neill, and it was also made into a film in 2002 directed by Steven Spielberg."
150,explain what will happen if a normal gamete like y fertilises gamete x,"If a gamete with gene X fertilizes a gamete with gene Y, the resulting zygote will have both genes (XY), assuming they are not alleles and do not affect each other. This creates a new combination of genetic material."
151,what nfl team is robert griffin the third playing for,Washington Football Team (formerly known as Redskins)
152,who sings the theme song for the tv show cops,"The theme song for the TV show ""Cops"" is sung by Tina Turner's ""Proud Mary""."
153,make a project report on agricultural crops grown in india,"**Project Report: Agricultural Crops Grown in India**

1. **Introduction:**  
   - Overview of Indian agriculture, its importance, and key challenges.

2. **Major Crops:**  
   - Rice (paddy): Major rice-producing states like West Bengal, Bihar, Assam, and Punjab.
   - Wheat: Key wheat-growing regions include Uttar Pradesh, Punjab, Haryana, and Rajasthan.
   - Cotton: Main cotton-producing states are Maharashtra, Gujarat, Andhra Pradesh, and Karnataka.
   - Sugarcane: Leading sugarcane producing states are Maharashtra, Tamil Nadu, Karnataka, and Uttar Pradesh.
   - Pulses: Important pulse-producing states include Madhya Pradesh, Uttar Pradesh, Rajasthan, and Gujarat.
   - Oilseeds: States such as Punjab, Haryana, Gujarat, and Maharashtra contribute significantly.

3. **Regional Variations:**  
   - North India: Wheat, pulses, oilseeds.
   - South India: Rice, pulses, oilseeds.
   - East India: Rice, jute, pulses.
   - West India: Cotton, sugarcane, pulses.

4. **Challenges & Opportunities:**  
   - Challenges: Climate change, water scarcity, soil degradation, pests, diseases.
   - Opportunities: Technological advancements, improved seed varieties, irrigation systems, market access.

5. **Conclusion:**  
   - Summary of major findings and recommendations for sustainable agricultural practices.

6. **References:**  
   - List of sources used for data collection and analysis."
154,how many languages do they speak in africa,"There are over 1,200 languages spoken in Africa."
155,when did jack mccoy join law and order,"Jack McCoy joined ""Law & Order"" in its first season, which aired from October 1990 to May 1991."
156,when do the grand magic games start in fairy tail,"The Grand Magic Games in Fairy Tail typically begin around late October or early November of each year, lasting for several days."
157,where is the emerald ash borer found in the us,"The Emerald Ash Borer (EAB) is found in the following U.S. states: Alabama, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Indiana, Iowa, Kentucky, Maryland, Massachusetts, Michigan, Minnesota, New Hampshire, New Jersey, New York, North Carolina, Ohio, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, West Virginia, Wisconsin, and Wyoming. It has also been discovered in the Canadian provinces of Ontario and Quebec."
158,global trade during the ming dynasty of china,"During the Ming Dynasty (1368–1644), China was a major player in global trade, particularly through maritime routes. The Chinese exported silk, porcelain, spices, tea, and other goods to countries like Japan, Southeast Asia, India, the Middle East, and Europe via the Silk Roads and maritime trade networks. Notable figures such as Admiral Zheng He led expeditions that expanded China's influence and trade relations worldwide."
159,what is the total eclipse of the heart video about,"The music video for ""Total Eclipse of the Heart"" by Bonnie Tyler depicts a dramatic storyline involving love, loss, obsession, and redemption set against an eerie and surreal backdrop."
160,who was the french chef given credit for developing the classic kitchen​ brigade,Georges-Auguste Escoffier
161,who wrote there's a guy works down the chip shop lyrics,"The song ""There's a Guy Works Down the Chip Shop"" was written by English singer-songwriter Billy Bragg."
162,when did the term sustainability start to be used,"The term ""sustainability"" began to gain widespread use in the 1980s, particularly following the publication of the Brundtland Report (Our Common Future) in 1987."
163,percy jackson and the olympians sea of monsters summary,"Percy Jackson and the Olympians: Sea of Monsters follows Percy Jackson, a half-blood demigod, as he embarks on a quest to find the Golden Apple of Happiness for Chiron's birthday. Alongside his friends Grover and Annabeth, they face new dangers and monsters while uncovering secrets about their own identities."
164,where does the modern view of history originate from,"The modern view of history originates from Enlightenment thinkers, particularly in the 18th century Europe, who emphasized rationalism, empiricism, and the scientific method to study historical events and societies."
165,who played stumpy in the movie rio bravo,John Russell played Stumpy in the movie Rio Bravo.
166,when does the new death of superman come out,"The latest ""Death of Superman"" storyline, known as ""Reign of Supermen,"" was released in 2018-2019. The original ""Death of Superman"" event occurred in 1992-1993."
167,when does the champions league quarter finals start,"The Champions League quarter-finals typically start in April. The exact dates vary each year, but they are usually held over two legs (home and away matches) during the first week of April followed by the second leg a week later."
168,when was the first episode of scooby doo,"The first episode of Scooby-Doo, titled ""What a Night for a Knight,"" aired on September 17, 1969."
169,what gun does the california highway patrol use,The California Highway Patrol primarily uses the Glock 17 handgun.
170,what is the song in red dead redemption,"The song in Red Dead Redemption is ""Requiem"" by Brian Eno and Gustavo Santaolalla."
171,who was elected governor of tennessee in 1865,William Gaynor was elected Governor of Tennessee in 1865.
172,when was the worlds first laptop computer introduced in the market and by whom,"The world's first laptop computer, the Grid Compass 1101, was introduced in 1982 by Grid Systems Corporation."
173,what is the role of hcl in the stomach,"HCL (Hydrochloric Acid) in the stomach helps break down food, kills bacteria, activates enzymes, and creates an acidic environment for digestion."
174,who wrote antigone and what are the dates of his birth and death,"Antigone was written by Sophocles, a Greek tragedian. His approximate dates of birth and death are ыс496 BC – 406 BC."
175,when is the fourth movie of the divergent series coming out,"The fourth movie in the Divergent series, ""Allegiant,"" was released on March 19, 2017."
176,what is windows defender and what does it do,"Windows Defender is a built-in antivirus program in Windows that protects your computer from malware, viruses, and other threats by scanning files, apps, and websites for potential risks."
177,who has been ranked no. 1 in the latest football rankings announced by fifa,"The most recent FIFA rankings can change frequently, so it's best to check the official FIFA website for the current ranking. As of my knowledge cutoff in October 2023, Argentina was ranked No. 1. Please verify the latest information from FIFA sources."
178,the grand tour season 2 episode 2 celebrity guests,"In The Grand Tour Season 2 Episode 2, the celebrity guest was Jimmy Kimmel."
179,who is the book of galatians written to,"The Book of Galatians is written to the early Christian community in Galatia, a region in what is now modern-day Turkey."
180,when does the miz and maryse show start,"The specific start time of The Miz and Maryse's show may vary depending on the venue, event, or broadcast schedule. For exact timing, it's best to check the local listings, event details, or official announcements for the particular appearance you're referring to."
181,how did rogue get super strength and flight,"Rogue gained super strength and flight by absorbing the powers of Mystique, who had absorbed them from other mutants."
182,when did disney art of animation resort open,"The Disney Art of Animation Resort opened on June 1, 2017."
183,whats the difference between ram 1500 and 2500,"The Ram 1500 is a mid-size pickup truck, while the Ram 2500 is a heavy-duty pickup truck. The 2500 is larger, more powerful, and has higher towing and payload capacities compared to the 1500."
184,the cast of a good day to die hard,"Jason Patric, Timothy Olyphant, Kevin Smith, Maggie Grace, Yul Vazquez, and others."
185,which organization is the major voice of the legal profession,The American Bar Association (ABA) is the major voice of the legal profession in the United States.
186,who sings will you still love me when i'm not young and beautiful,Bonnie Tyler
187,a best alternative to a negotiated agreement (batna),Best Alternative To a Negotiated Agreement (BATNA) refers to the best course of action you can take if negotiations fail.
188,actor who plays eric on boy meets world,Ben Savage
189,where do the greasers live in the outsiders,"The Greasers live in the West Side of Tulsa, Oklahoma."
190,what is bermuda competing in the winter olympics,Bermuda has not competed in the Winter Olympics.
191,who has given the theory of unbalanced economic growth,"The theory of unbalanced economic growth was given by Mahalanobis, an Indian economist."
192,how many episodes are there in dragon ball z,There are 153 episodes in Dragon Ball Z.
193,once upon time in india kis film ka tag line hai,"""Once Upon a Time in India"" is a tagline from the Bollywood film ""Black"" (2005)."
194,when did the philadelphia eagles play in the super bowl last,"The Philadelphia Eagles played in Super Bowl LII on February 12, 2018."
195,who took over for batman when his back was broken,"Dick Grayson, later known as Nightwing, took over as Robin and eventually became Batman after Bruce Wayne's back was broken."
196,where was atticus finch born in to kill a mockingbird,"Atticus Finch was not born in ""To Kill a Mockingbird."" The novel begins with his childhood memories, but he is an adult lawyer by the time the story takes place."
197,the settlers were attracted to oregon for all of the following reasons except,"The provided information does not specify any options or reasons, so it's impossible to determine which one is incorrect without additional details. Please provide the options."
198,who was involved in the mapp vs ohio case,"The Mapp v. Ohio case involved Dollree Mapp, a resident of Oklahoma City, and the United States government."
199,when was the defensive 3 second rule implemented,"The defensive 3-second rule in basketball was implemented on October 1, 1997."
200,where does the optic nerve cross the midline ​,"The optic nerve crosses the midline at the chiasm, specifically at the optic chiasm located in the diencephalon region of the brain."
