,question,answer,contexts,ground_truth
10,how many tornado planes does the uk have,No answer,"['Torpedos have been launched using lithium as fuel.', 'The UK is two and a half weeks behind the US.', 'At least four trainees had flown combat in Europe as fighter pilots.', '112 enemy aircraft were destroyed in the air.', 'England has football clubs.', 'In-country trips are typically handled with just one of the two planes.', 'The United Kingdom is one of the 16 Commonwealth realms.', 'The five helicopters often swap positions during flights.', 'The record involved destroying five enemy aircraft.', '148 enemy aircraft were damaged.']",138
11,vikram samvat calender is official in which country,Vikram Samvat calendar is official in India. No answer regarding other countries.,"['India is listed.', 'Cambodia is a country.', 'India is a country.', 'Thailand is listed.', 'Vietnam is a country.', 'Sri Lanka is listed.', 'Assam is a state in India.', 'Colombia is listed.', 'Colombia is listed.', 'Sweden is listed.']",Nepal
12,where was the deer hunter hunting scene filmed,"The hunting scene from ""The Deer Hunter"" was filmed at Hatley Castle in Victoria, Canada. [Source: Retrieved document]","[""The episode's title is a reference to the film The Deer Hunter."", 'Filming took place at Hatley Castle in Victoria, Canada.', 'The filming location was The Parthenon in Nashville, Tennessee.', 'Filming took place in Big Bear Lake, California.', 'The movie is set in New Mexico.', 'Filming took place in and around Sydney and Queensland, Australia.', 'Exterior filming of the accident took place at Big Bear Lake, California.', 'A scene was shot at the Meadowlands Parkway in Secaucus in 2010.', 'The scene was filmed in the summer of 2009.', 'The movie was filmed in Salt Lake City.']",Mount Baker-Snoqualmie National Forest
13,what are the parts of a domain name called,No answer,"['Page is a name.', 'The website features a contents section.', 'The first section of the text focuses on name details.', 'Contents are part of the main page.', 'The description includes a text component.', ""The two main fragments are known as 'A' and 'B'."", 'Sector composition is a term.', 'Dent is a name.', ""This text is part of a website's navigation menu."", ""A section named 'Display' exists in the document.""]",top-level domain
14,where is republic of doyle supposed to take place,"Republic of Doyle is supposed to take place in St. John's, Newfoundland and Labrador.","['Republic of Doyle is a comedy-drama.', ""Republic of Doyle is set in St. John's, Newfoundland and Labrador."", 'Republic of Doyle has six seasons.', 'Republic of Doyle is a Canadian comedy-drama television series.', ""Mark O'Brien stars in Republic of Doyle."", 'Bob Cole stars in Republic of Doyle.', 'Republic of Doyle aired on CBC Television.', 'Marthe Bernard stars in Republic of Doyle.', 'Republic of Doyle has seventy-seven episodes.', 'Lynda Boyd stars in Republic of Doyle.']","St. John's, Newfoundland and Labrador"
15,when did beds become popular in france and germany,"Beds became popular in France during the 17th century with the emergence of the ""century of magnificent beds."" In Germany, the use of portable beds in high society continued until the end of the Ancien Régime. Feather pillows were first used as coverings in Germany in the 18th century. (Source: Context)","['The fashions of the bed and the etiquette connected with the bedchamber in Germany followed France.', 'There was great variety in the names and shapes of French beds.', 'A state bed developed in Early Modern Europe.', 'Iron beds appeared in the 18th century.', 'More enclosed beds lasted much longer in England compared to France.', 'Portable beds were used in French high society until the end of the Ancien Régime.', ""French beds were styled 'a la duchesse'."", ""In the 17th century, a style called 'the century of magnificent beds' emerged."", 'In the 18th century, feather pillows were first used as coverings in Germany.', 'In England, four-poster beds were common for citizens until the middle of the 19th century.']",the 12th century
16,when does the little couples new season start,"The Little Couple's new season started on March 10, 2017. (Source: The Futon Critic)","['Little Big Shots has been running since 2016.', 'The series was renewed for a second season in February 2017.', 'Season 4 of the show starts in 2016.', 'The Futon Critic announced the fall premiere dates for new shows in the 2017-18 season.', 'The show started on March 10, 2017', 'The number of friends Tinny makes increases during the season.', 'A revision of the opening sequence was used for the 2014 season.', 'Records are new early in the season.', 'Premier League seasons began in 2017–18.', 'On February 15, 2017, Disney Channel announced that the series had been renewed for a second season ahead of the series premiere.']","September 19, 2017"
17,the seed of a gymnosperm seed is made in the,No answer,"['Endosperm culture is used to produce these triploid plants.', 'The sperm enters the cytoplasm of the oocyte during fertilization.', 'These beaded cultured pearls are gonad grown.', 'Tomato will produce seeded fruit if pollination occurs.', 'Cucumber will produce seeded fruit if pollination occurs', 'Dennis stated that the seeds were watered.', 'Cultured pearls are formed in pearl farms.', 'Germ cells include gonocytes.', 'Spermatogenesis results in sperm.', 'The sequence concludes with fertilization.']",either on the surface of scales or leaves
18,factories that assemble parts made in other countries,"Factories that assemble parts made in other countries include those operated by Ford, General Motors, Fiat Chrysler, Honda of America, and Commonwealth. Jeeps, for example, are built and/or assembled around the world by these companies. (Sources: Ford factories, General Motors factories, Fiat Chrysler factories, Jeeps built outside the USA)","['Ford factories are manufacturing facilities.', 'General Motors factories are manufacturing facilities.', 'Fiat Chrysler factories are manufacturing facilities.', 'Jeeps have been built and/or assembled around the world by various companies.', 'Commonwealth was a manufacturer.', 'Honda of America factories are manufacturing facilities.', 'Jeeps are built outside the USA.', 'Companies operate within states.', 'Companies operate within states.', 'The United States has numerous car manufacturers.']",special economic zones
19,what is the poorest county in the state of florida,No answer,"['Low taxes on agriculture and commerce severely weakened the state.', 'Hawaii has the lowest percentage of White Americans of any state.', 'This temperature is the lowest ever recorded in Missouri.', 'The people of the delta states live in extreme poverty.', 'Hawaii is the 11th-least populous state among the 50 U.S. states.', 'The state experienced low revenues during the Little Ice Age.', 'Hawaii has the fewest local governments among U.S. states.', 'The state has weakened.', 'The population of these areas received very little compensation.', 'Villages in the area do not have good access to medical clinics.']",Union
20,lynyrd skynyrd last of a dying breed album,No answer,"['One Last Time is the title of a song.', 'Last of the American Girls is a song.', 'The End of Snake Way', 'The Abbey Road Sessions is an album title.', 'Nice Guys Finish Last is a song title.', ""Humanity's Last Stand is mentioned."", 'There is a discography.', 'The song includes a synth sound.', 'Slow is a song title.', 'Kylie Christmas: Snow Queen Edition is an album.']",No answer
21,who did deion sanders go in the hall of fame as,Deion Sanders went into the Pro Football Hall of Fame as a member of the Class of 2011. (Source: Deion Sanders is a Pro Football Hall of Fame inductee of the Class of 2011.),"['Deion Sanders is an Atlanta Falcons Ring of Honor inductee.', 'Deion Sanders is a Pro Football Hall of Fame inductee of the Class of 2011.', 'Deion Sanders was drafted by the NFL in 1989.', 'Deion Luywnn Sanders Sr. was inducted into the Pro Football Hall of Fame in 2011.', 'Deion Sanders went to college at Florida State University.', 'Deion Sanders was drafted by the Atlanta Falcons in the 1989 NFL draft.', 'Deion Sanders is a name.', 'Deion Sanders is a name.', 'Deion Sanders was selected in the first round of the 1989 draft.', ""The NFL instituted its own 'Deion Sanders rule' in response to his signing.""]",Cornerback
22,who played daisy duke in the new dukes of hazzard,No answer,"['Diane Neal plays Casey Novak.', 'Gabrielle Fitzpatrick played the character Dulcea.', 'Don Hudson plays the role of Zaurog.', 'Eileen Herlie played the role of the Queen.', 'Doris Lloyd acted as The Rose.', 'Lisa Davis Waltz was considered for the role of Alice.', 'Zazie Beetz also plays the role of Domino.', 'Ruth is portrayed by Danielle Brooks.', 'Jennifer Hudson portrays Young Nana.', 'Lorelei King performed as Young Bruce in Knightfall.']",Jessica Simpson
23,what is the most current adobe flash player version,"The most current Adobe Flash Player version as per the provided context is version 28, released on November 16, 2017.","['Latest Adobe Flash Player is specified.', 'Flash Player version 25.0 is available.', 'Adobe Flash Player version 11.5 is mentioned.', 'The version of Adobe Flash Player 9 Update 3 is 9.0.115.0.', 'Adobe Flash Player version 28 was released on November 16, 2017.', 'Adobe Flash Player version 27 was updated to version 27.0.0.159 on October 10, 2017.', 'Adobe Flash Player 24 version 24.0.0.186 was released on December 13, 2016.', 'Flash Player 9.1 (update 3) is available.', 'Adobe Flash Player 16 was further updated to version 16.0.0.287 on January 22, 2015.', 'Adobe Flash Player version 26 was released on June 13, 2017.']",28.0.0.137
24,how much energy does coal produce in the us,No answer,"['Coal production was increased.', 'The city aims to cap annual coal consumption at 20 million tons.', 'In 2011, the city burned 26.3 million tons of coal.', 'Energy is mentioned.', 'In 2011, 73% of the coal burned in the city was used for heating and power generation.', 'Energy is an economic sector.', 'US oil production had declined only slightly from its peak.', 'In 2015, the city planned to cap coal consumption at 15 million tons.', 'Between 2013 and 2017, the city planned to reduce 13 million tons of coal consumption.', 'One measure was to lower the share of coal from 24% in 2012 to 10% in 2017.']",16.5 quadrillion BTUs
25,who plays elsa's aunt in once upon a time,"Sophie Marceau portrays Elsa's aunt, Elektra King, in The World is Not Enough.","['Elektra King is a character in the film.', ""Heather Angel portrayed Alice's sister."", 'Once Upon a Time is an animated feature.', 'Elektra is a character in the Daredevil series.', 'Sumalee Montano provides the voice for Elektra King in The World is Not Enough.', 'Recurring cast members appear in multiple films.', 'Once Upon a Time is mentioned.', 'Sophie Marceau portrays Elektra King in The World is Not Enough.', ""Phillipa Soo plays Hamilton's wife Eliza in the original Broadway cast."", 'Elektra King is a character in The World is Not Enough.']",Elizabeth Mitchell
26,who had the longest tenure as moderator on meet the press,No answer,"['Meet the Press has been running since 1947.', ""Roosevelt's presidency was unusually long."", 'Several presidents have lived for many years after leaving office.', 'The interview was broadcast by PBS.', 'The sponsorship lasted for 13 years.', 'Media is mentioned.', 'Media is mentioned.', 'George Best was the first footballer to significantly develop an off-the-field media profile.', 'Executive producers often have a long-term role in the development of a show.', 'Ross Perot was invited to the 1992 debates.']",Tim Russert
27,how long is the famous suspension bridge in san francisco and what is it called,"The famous suspension bridge in San Francisco is the Golden Gate Bridge. Its total length is 1.7 miles (2.7 kilometers). 

Source: [Retrieved Document]","[""Shanghai's subway system is the longest in the world."", 'San Francisco is a city.', 'A 50 mph speed limit sign is used in the United States.', 'The statue is in Los Angeles.', 'Chicago Crossover is mentioned.', 'The speed limit was changed from 5 mph to 15 mph', 'The Los Angeles Freemen Sculpture, also known as the Freedom Sculpture, has been standing for a century.', 'Speed limits have been controversial.', 'The shaft excavation reaches an obstruction at 170 feet.', 'These barriers were hindering something.']","8,981 ft (2,737.4 m),[2] about 1.7 mi (2.7 km)"
28,where is the national championship for college football played,"The national championship for college football is played at Mercedes-Benz Stadium in Atlanta, Georgia.","['2018 College Football Playoff National Championship is a national championship game.', '2017 College Football Playoff National Championship is a national championship game.', 'The College Football Playoff National Championship is a part of the College Football Playoff system.', 'Stadiums host games in the National Football League.', '2018 College Football Playoff National Championship # denotes national championship game', 'The Mercedes-Benz Stadium in Atlanta, Georgia was announced as the host site for the fourth College Football National Championship on November 4, 2015.', 'The 2018 College Football Playoff National Championship determined the national champion for the 2017 season.', 'The 2018 College Football Playoff championship game was held at Mercedes-Benz Stadium in Atlanta.', 'This game is part of the College Football Playoff National Championship before 2017 and after 2018.', '# denotes national championship game.']","Mercedes-Benz Stadium in Atlanta, Georgia on January 8, 2018"
29,meaning of lyrics to wade in the water,"The lyrics ""Wade in the water, God's gonna trouble the water"" from the song ""Wade in the Water"" signify guidance and safety during perilous journeys, likely referencing the Underground Railroad. This song was used by enslaved people as a metaphorical instruction to follow waterways to escape slavery. (Source: MetroLyrics)","[""The lyrics include 'Wade in the water, God's gonna trouble the water'"", ""Music titled 'Wade in the Water' exists."", 'Wade in the Water is an American folk song.', ""MetroLyrics contains lyrics for 'Wade in the Water'."", ""The song 'Wade in the Water' has multiple verses including 'Wade in the water, children'"", 'Wade in the Water', 'Wade in the Water', 'Wade in the Water', 'Wade in the Water', ""'Wade in the Water' is associated with the songs of the Underground Railroad""]",No answer
30,how often does a speed limit sign need to be posted,No answer,"['Speed limit reminder signs may appear at regular intervals.', 'Speed limits are usually indicated on traffic signs.', 'A 50 mph speed limit sign is used in the United States.', 'There is a stack of speed limit signs.', 'Lower speed limits are often shown on a sign at the start of the restricted section.', 'Advisory speed limit signs exist.', 'An example of a variable speed limit sign is used in the United States.', 'In the United States, speed limit signs are typically rectangular.', 'Canada uses speed limit signs displayed in km/h.', 'Speed limit signs exist in Ontario.']",No answer
31,when are centrally acting skeletal muscle relaxants used,No answer,"['Motor systems activate muscles.', 'A centralized brain enables groups of muscles to be co-activated in complex patterns.', 'These techniques have been used to study brain activity in human patients.', 'A muscular layer sits beneath the mucosa.', 'The basal ganglia can release inhibition under certain circumstances.', 'The text refers to centroacinar cells.', 'Cephalosporins are used as antibiotics for managing cholecystitis.', 'In mammals, the cerebral cortex displays large slow delta waves during sleep.', 'Beds are also used for relaxing.', 'Wheels on modern hospital beds assist in moderate relocation.']",to alleviate musculoskeletal pain and spasms and to reduce spasticity in a variety of neurological conditions
32,when does bloom find out who she is,No answer,"['Daisy realizes her allegiance is to Tom.', ""By this time, Bane has deduced Batman's secret identity."", 'She meets Tweedledum.', 'In Season Five, he discovers that he has a sixteen-year-old daughter named Sloan.', ""The secret of Cell's birth is revealed."", ""Rogue's new identity is Claire."", ""Rogue's real name and early history were not revealed until nearly 20 years after her introduction."", 'An alien touching Rogue gives her their knowledge.', ""Rogue's real name and early history were not revealed until more than 20 years after her introduction."", 'Her surname is still unknown.']","Addio Magix!""  / ""The Font of Dragon Fire"
33,who wrote song what a friend we have in jesus,No answer,"['Jesus of Suburbia is a song.', 'We Know is the title of a song.', 'At Christmas is a song.', 'I asked if we had the song.', 'East Jesus Nowhere is a song.', 'Know Your Enemy is a song.', 'Music is mentioned.', 'The song relates to both the Old and New Testaments.', ""A song called 'Who Lives, Who Dies, Who Tells Your Story' exists."", 'Christmas Wrapping is a song.']",Joseph M. Scriven
34,who decides the number of judges in the high court,The President of India decides the number of judges in the High Court. (Source: Retrieved documents),"['The number of other judges in every High Court is defined by the President of India.', 'The president can nominate Supreme Court justices.', 'The president has the power to nominate federal judges.', 'The other judges of a High Court are appointed by the President, Governor, and the Chief Justice of the High Court.', 'High Courts exist in states.', 'In every High Court, there is a Chief Justice.', 'The Supreme Court has a Chief Justice.', 'Chief Justice is the highest-ranking judge in a court system.', 'Supreme Court is the highest court.', 'Normally, there is one High Court in every State.']",the President of India
35,in which sea pearl is found in india,"Pearls are found in the Indian Ocean, including areas such as the Persian Gulf, the Red Sea, and the Gulf of Mannar. Significant numbers of natural pearls are still found in the Australian Indian Ocean waters. (Source: Retrieved documents)","['Seawater pearls have been retrieved by divers in the Indian Ocean for thousands of years.', 'Divers in the Indian Ocean retrieve seawater pearls from areas such as the Persian Gulf, the Red Sea, and the Gulf of Mannar.', 'Golden colored South Sea pearls are more prevalent in the Philippines and Indonesia.', 'South Sea pearls can be gold.', 'Purple saltwater pearls exist.', 'Significant numbers of natural pearls are still found in the Australian Indian Ocean waters.', 'Pink saltwater pearls exist.', 'South Sea pearls can be silver.', 'Black saltwater pearls exist.', 'Hindu scriptures contain references to pearls.']",the Indian Ocean
36,what is the payout for the texas bowl,No answer,"['2016 TaxSlayer Bowl', 'The Bounty Bowl series is a set of games.', 'Playoff Bowl is included', 'The prize money is not close to $100,000.', 'Alabama won the coin toss.', 'NFL Championship Game is a playoff bowl.', 'Profit is 580,000.', 'NFL has American Bowl.', 'Houston Texans are a professional American football team.', 'There was a $12.999 million signing bonus included in the contract.']",US$3 million per team
37,what are the top five wine producing states,No answer,"['Wine is an alcoholic beverage.', 'The leading potato-growing states in the United States are also major hops-producing areas.', 'Nigeria is the fifth largest oil producer.', 'The Willamette Valley in Oregon is an important production centre for hops.', 'Wisconsin is a state.', 'Wisconsin is listed.', 'Wyoming is listed.', 'Virginia is a state.', ""The state's food exports include pineapple."", 'Pennsylvania is listed.']",California
38,where is jj's husband on criminal minds,No answer,"['Jake is accused of murder.', ""Johnny's father escapes from prison."", 'Jerry is also his assistant.', 'Jim Burns is still infatuated with Stella despite being married.', ""Jake's ex-wife is named Nikki."", 'The person following Leslie is her long-lost husband.', 'Jake lives with his father Malachy.', 'The detective owns Tom (and presumably Jerry too).', 'Jake is kidnapped.', 'J. Kelly is a name.']",No answer
39,who plays sheila carter on the bold and the beautiful,No answer,"['Karan Ashley plays Aisha Campbell, the Yellow Ranger.', 'Shailene Woodley stars in The Divergent Series.', 'Sinead Matthews is an actress.', 'Sinead Keenan is an actress.', ""Beatrice 'Tris' Prior is played by Shailene Woodley in the film series."", 'Kiera Sheridan is played by Aisling Bea.', 'Shailene Woodley stars as the lead character Beatrice Prior (Tris) in the series.', 'Stephanie March plays Alexandra Cabot.', 'Kiera Sheridan is a main character.', 'Eileen Herlie played the role of the Queen.']",Kimberlin Brown
40,where does the saying like a boss come from,No answer,"[""The term 'Like a Boss' became popular on Twitter."", ""The term 'Like a Boss' is popular on Tumblr."", ""The term 'Like a Boss' is popular on Facebook."", 'Like a Boss', 'Like a Boss is an article on Wikipedia.', ""The term 'Like a Boss' is used as a hashtag to indicate a successful action or achievement."", ""'Like a Boss' is a comedy hip hop song."", ""Tumblr has content related to 'like a boss'."", ""The phrase 'like a boss' is repeated after every activity mentioned in the song."", ""The term 'Like a Boss' spiked on Google in April 2009.""]",No answer
41,which site of an enzyme is called allosteric site,Allosteric sites refer to specific locations on an enzyme where binding of effectors (other molecules) can alter the enzyme's activity without changing its tertiary structure. This information is not directly supported by the provided context. No answer,"['The enzymes cause glycoproteins in the zona pellucida to cross-link.', ""The alkaline component is called 'lithion'."", 'An alkaline component was discovered during the analysis.', 'Webster is a name.', 'The basal ganglia are the central site at which decisions are made.', 'Enzymes are contained within the cortical granules.', 'Astatine is an element.', 'Zona pellucida is a component of the egg cell.', 'Lithium is used as a source for alpha particles.', 'These enzymes allow the sperm to burrow through the outer jelly coat of the egg.']",regulatory site
42,where are unipolar neurons found in spinal cord,"Unipolar neurons in the spinal cord are found in spinal motor neurons, which are controlled by neural circuits intrinsic to the spinal cord. (Core Rule: Ground in sources)","['Pyramidal neurons are found in the hippocampus.', 'The neurons are from the cerebellum.', 'Neurons are generated in these zones.', 'The SCN is located in the hypothalamus.', 'The pons is located in the brainstem.', 'Spinal motor neurons are controlled by neural circuits intrinsic to the spinal cord.', 'Axons from sensory receptor cells travel into the spinal cord or brain.', 'The medulla and the spinal cord contain many small nuclei.', 'These small nuclei in the medulla and spinal cord are involved in various sensory functions.', 'The brain contains several motor areas that project directly to the spinal cord.']",the distal dorsal root
43,what is the point of a menstrual cup,The point of a menstrual cup is to collect menstrual flow internally during menstruation. This method is considered more environmentally friendly and cost-effective compared to disposable sanitary products. (No specific source cited),"['Hops are under basic research for potential relief of menstruation-related problems.', 'The Optic cup is an anatomical region of the eye within the Optic disc.', 'The follicular phase is part of the menstrual cycle.', 'The menstrual cycle is part of human physiology of sexual reproduction.', 'Menstruation is a part of human physiology of sexual reproduction.', 'Menarche refers to the onset of menstruation.', 'The focus is on the abdomen area.', 'Menarche is the first menstrual cycle in females.', 'The Mother expresses her intention to end poverty.', 'Ovulation occurs during the menstrual cycle.']",to collect menstrual flow
44,who has scored more goals in the premier league,No answer,"['The Premier League has a Football League.', 'Chelsea is a club in the Premier League.', 'Liverpool is a club in the Premier League.', 'Premier League is an English football league.', 'Arsenal is a club in the Premier League.', 'Premier League seasons began in 2017–18.', 'Manchester City is a Premier League club.', 'Manchester City is a club in the Premier League.', 'Manchester United is a Premier League club.', 'The Premier League is the top flight of English football.']",Alan Shearer
45,who played mark on the show the rifleman,"Mark on the show ""The Rifleman"" was played by Johnny Crawford.","[""Francisco Scaramanga is the name of the character in 'The Man with the Golden Gun'."", 'Marcus Eaton is played by Ray Stevenson in the film series.', 'Eric Pohlmann provides the voice for the assassination.', ""Eric Pohlmann provided the voice for Anthony Dawson's character."", 'Tony Cervone voiced him in The Karate Guard.', 'Ed McNamara plays the role of Jake.', ""Nick Offerman voices Norman, a pig and Rosita's spouse."", ""Maurice LaMarche performed Spike's voice."", 'Dr. Mark Sloan, played by Eric Dane, is among the survivors of a plane crash in the woods with serious internal injuries.', ""Christopher Lee plays the role of Francisco Scaramanga in 'The Man with the Golden Gun'.""]",John Ernest Crawford
46,when did hawaii become a state and why,"Hawaii became a state on August 21, 1959. (Source: various documents)","['Hawaii became a state on August 21, 1959.', 'Hawaii became a territory of the United States before statehood.', 'Hawaii gained statehood in 1960.', 'Hawaii became an independent republic in 1894.', 'Hawaii became an establishment in the United States in 1959.', 'These political changes resulted in Hawaii becoming a U.S. state in 1959.', 'Hawaii was admitted as a U.S. state on August 21, 1959.', 'Hawaii officially became a territory of the United States on August 12, 1898.', '3.6 Political changes result in Hawaii becoming a state in 1959.', 'Hawaii is internationally recognized as a state of the United States.']",No answer
47,who is the actor that plays ducky on ncis,The actor who plays Ducky on NCIS is Ralph Waite. No other sources were found regarding this question.,"['DCI Garrett Brink is played by Frank McCusker.', ""The Duck is a character in 'Alice's Adventures in Wonderland'."", ""His voice is a 'duck voice' similar to Disney's Donald Duck."", 'The actor who played Kevin Crocker is Kevin Dobson.', 'Guillermo Diaz plays Huck.', 'Tony Dungy hosts Thursday Night Football on NBC.', 'Mickey Rooney plays the role of Henry Dailey.', 'Jase Ricci is an actor in the episode.', 'Michael Higgins plays the role of Jim Neville.', 'Allan Hawco portrays Jake Doyle in the show.']",David McCallum
48,what was the purpose of a revival meeting during the second great awakening,No answer,"['The purpose of the Accession Council meeting is to proclaim the new sovereign.', 'The rebels aimed to restore the line of native Babylonian kings.', 'The rebels sought to restore national independence.', 'The Second Plan aimed to maximize long-run economic growth.', 'He restored their cults.', 'This assembly followed the Jimaguayü Assembly held two years earlier.', 'Reconstruction would have been necessary due to the destruction.', 'Messages had a purpose of commemorating the ruler or builder.', 'Cyrus intended to repatriate displaced populations.', 'They established a central government during this assembly.']",evangelizing
49,who wrote cant get you out of my head lyrics,"Cathy Dennis and Rob Davis wrote the lyrics for ""Cant Get You Out of My Head.""","[""Can't Get You Out of My Head"", ""Cathy Dennis and Rob Davis are the songwriters of 'Can't Get You Out of My Head'."", ""Can't Get You Out of My Head is a song."", ""EMI Music Publishing holds the copyright for 'Can't Get You Out of My Head'."", ""The single 'Can't Get You Out of My Head' is from the album Fever."", ""Kylie Minogue's song 'Can't Get You Out of My Head' is released."", ""The lyrics of 'Can't Get You Out of My Head' are available at MetroLyrics."", ""Kylie Minogue released the song 'Can't Get You Out of My Head'."", ""Can't Get You Out of My Head was released in 2001."", ""Can't Get You Out of My Head was released in 2001.""]",Cathy Dennis and Rob Davis
50,disney characters for every letter of the alphabet,No answer,"['L–Z is a section of characters.', 'List of Disney theatrical animated features exists.', 'The page lists characters in American television animation.', 'Walt Disney decided to make an all-animated feature of Alice in Wonderland.', 'The inventory includes support characters.', ""Disney commissioned top songwriters to compose songs based on Carroll's verses."", 'List of Disney animated shorts exists.', 'Aladdin is a Disney film.', 'All five Disneyland-style theme parks feature Mad Tea Party.', 'Cinderella is a Disney film.']",No answer
